Parent Map for Subproblem Tree 27
======================================
Child ID (x, y) -> Parent ID (x, y)
    1 (1.94987, 15.3126) -> 0 (1, 15)
    2 (2.5817, 16.0877) -> 1 (1.94987, 15.3126)
    3 (3.56666, 15.9149) -> 2 (2.5817, 16.0877)
    4 (4.50259, 15.5628) -> 3 (3.56666, 15.9149)
    5 (5.30308, 16.1621) -> 4 (4.50259, 15.5628)
    6 (5.60951, 17.114) -> 5 (5.30308, 16.1621)
    7 (5.0611, 14.7333) -> 4 (4.50259, 15.5628)
    8 (6.3962, 17.7314) -> 6 (5.60951, 17.114)
    9 (5.89274, 14.178) -> 7 (5.0611, 14.7333)
    10 (6.49839, 13.3822) -> 9 (5.89274, 14.178)
    11 (6.39592, 18.7314) -> 8 (6.3962, 17.7314)
    12 (6.78476, 19.6527) -> 11 (6.39592, 18.7314)
    13 (7.49801, 13.4096) -> 10 (6.49839, 13.3822)
    14 (8.01282, 12.5523) -> 13 (7.49801, 13.4096)
    15 (6.20307, 20.4661) -> 12 (6.78476, 19.6527)
    16 (7.8105, 11.5729) -> 14 (8.01282, 12.5523)
    17 (7.5538, 10.6065) -> 16 (7.8105, 11.5729)
    18 (5.6467, 21.297) -> 15 (6.20307, 20.4661)
    19 (7.58077, 20.2579) -> 12 (6.78476, 19.6527)
    20 (5.27457, 22.2252) -> 18 (5.6467, 21.297)
    21 (8.58047, 20.2333) -> 19 (7.58077, 20.2579)
    22 (8.03338, 9.72896) -> 17 (7.5538, 10.6065)
    23 (8.86275, 9.17025) -> 22 (8.03338, 9.72896)
    24 (9.56411, 8.45745) -> 23 (8.86275, 9.17025)
    25 (9.54744, 19.9785) -> 21 (8.58047, 20.2333)
    26 (9.03112, 7.61133) -> 24 (9.56411, 8.45745)
    27 (10.4556, 8.91051) -> 24 (9.56411, 8.45745)
    28 (7.3919, 17.6387) -> 8 (6.3962, 17.7314)
    29 (5.98423, 22.9297) -> 20 (5.27457, 22.2252)
    30 (6.69682, 10.0911) -> 17 (7.5538, 10.6065)
    31 (6.80131, 23.5063) -> 29 (5.98423, 22.9297)
    32 (7.5721, 24.1434) -> 31 (6.80131, 23.5063)
    33 (6.16268, 9.24571) -> 30 (6.69682, 10.0911)
    34 (9.53228, 6.74597) -> 26 (9.03112, 7.61133)
    35 (10.4454, 6.33822) -> 34 (9.53228, 6.74597)
    36 (8.10818, 11.6675) -> 16 (7.8105, 11.5729)
    37 (10.5447, 20.052) -> 25 (9.54744, 19.9785)
    38 (8.31255, 24.8155) -> 32 (7.5721, 24.1434)
    39 (11.1597, 5.63842) -> 35 (10.4454, 6.33822)
    40 (8.86326, 6.00272) -> 34 (9.53228, 6.74597)
    41 (12.0589, 5.20086) -> 39 (11.1597, 5.63842)
    42 (12.5011, 4.30393) -> 41 (12.0589, 5.20086)
    43 (11.4151, 19.5596) -> 37 (10.5447, 20.052)
    44 (8.15149, 25.8024) -> 38 (8.31255, 24.8155)
    45 (8.43654, 26.7609) -> 44 (8.15149, 25.8024)
    46 (12.8658, 3.37282) -> 42 (12.5011, 4.30393)
    47 (8.2254, 18.1912) -> 28 (7.3919, 17.6387)
    48 (13.2203, 2.43775) -> 46 (12.8658, 3.37282)
    49 (8.00746, 10.941) -> 17 (7.5538, 10.6065)
    50 (8.50902, 5.06757) -> 40 (8.86326, 6.00272)
    51 (7.45375, 26.9456) -> 45 (8.43654, 26.7609)
    52 (6.07807, 23.0132) -> 29 (5.98423, 22.9297)
    53 (14.1551, 2.79277) -> 48 (13.2203, 2.43775)
    54 (15.1418, 2.63004) -> 53 (14.1551, 2.79277)
    55 (15.7349, 3.43518) -> 54 (15.1418, 2.63004)
    56 (12.314, 19.9979) -> 43 (11.4151, 19.5596)
    57 (16.6999, 3.69723) -> 55 (15.7349, 3.43518)
    58 (5.2431, 18.0445) -> 6 (5.60951, 17.114)
    59 (16.9572, 2.73088) -> 57 (16.6999, 3.69723)
    60 (17.3394, 4.46604) -> 57 (16.6999, 3.69723)
    61 (13.2636, 20.3114) -> 56 (12.314, 19.9979)
    62 (7.62735, 22.9427) -> 31 (6.80131, 23.5063)
    63 (14.2216, 20.5979) -> 61 (13.2636, 20.3114)
    64 (5.23697, 8.86747) -> 33 (6.16268, 9.24571)
    65 (4.61095, 8.08766) -> 64 (5.23697, 8.86747)
    66 (14.9103, 21.323) -> 63 (14.2216, 20.5979)
    67 (8.34775, 5.85433) -> 40 (8.86326, 6.00272)
    68 (15.9075, 21.3973) -> 66 (14.9103, 21.323)
    69 (17.614, 1.97682) -> 59 (16.9572, 2.73088)
    70 (7.75436, 4.41145) -> 50 (8.50902, 5.06757)
    71 (18.1948, 3.94803) -> 60 (17.3394, 4.46604)
    72 (14.985, 3.57086) -> 55 (15.7349, 3.43518)
    73 (9.32539, 27.2191) -> 45 (8.43654, 26.7609)
    74 (7.07128, 3.68111) -> 70 (7.75436, 4.41145)
    75 (1.36759, 14.07) -> 0 (1, 15)
    76 (8.57371, 22.6195) -> 62 (7.62735, 22.9427)
    77 (16.596, 22.1225) -> 68 (15.9075, 21.3973)
    78 (11.8047, 18.6386) -> 43 (11.4151, 19.5596)
    79 (16.0676, 22.9715) -> 77 (16.596, 22.1225)
    80 (12.5354, 1.70911) -> 48 (13.2203, 2.43775)
    81 (2.40049, 16.0275) -> 2 (2.5817, 16.0877)
    82 (19.0862, 3.49474) -> 71 (18.1948, 3.94803)
    83 (6.24482, 3.11811) -> 74 (7.07128, 3.68111)
    84 (16.2118, 23.9611) -> 79 (16.0676, 22.9715)
    85 (17.854, 5.32346) -> 60 (17.3394, 4.46604)
    86 (5.55005, 2.39888) -> 83 (6.24482, 3.11811)
    87 (20.0268, 3.83411) -> 82 (19.0862, 3.49474)
    88 (16.9543, 24.6309) -> 84 (16.2118, 23.9611)
    89 (10.1971, 27.7091) -> 73 (9.32539, 27.2191)
    90 (18.5094, 6.07876) -> 85 (17.854, 5.32346)
    91 (1.90189, 16.8944) -> 81 (2.40049, 16.0275)
    92 (18.06, 6.9721) -> 90 (18.5094, 6.07876)
    93 (20.4157, 2.91284) -> 87 (20.0268, 3.83411)
    94 (4.60958, 18.8182) -> 58 (5.2431, 18.0445)
    95 (5.18997, 22.2314) -> 20 (5.27457, 22.2252)
    96 (7.83669, 16.9609) -> 28 (7.3919, 17.6387)
    97 (15.1977, 3.5284) -> 72 (14.985, 3.57086)
    98 (4.39656, 22.8401) -> 95 (5.18997, 22.2314)
    99 (5.85855, 20.4293) -> 15 (6.20307, 20.4661)
    100 (17.6977, 4.26625) -> 60 (17.3394, 4.46604)
    101 (17.1027, 1.11738) -> 69 (17.614, 1.97682)
    102 (12.5047, 0.709579) -> 80 (12.5354, 1.70911)
    103 (3.64051, 23.4946) -> 98 (4.39656, 22.8401)
    104 (5.7534, 1.41978) -> 86 (5.55005, 2.39888)
    105 (12.0419, -0.17691) -> 102 (12.5047, 0.709579)
    106 (1.23611, 15.9883) -> 1 (1.94987, 15.3126)
    107 (5.77991, 20.5013) -> 99 (5.85855, 20.4293)
    108 (2.02145, 17.5189) -> 91 (1.90189, 16.8944)
    109 (6.40212, 23.897) -> 31 (6.80131, 23.5063)
    110 (15.2888, 24.3459) -> 84 (16.2118, 23.9611)
    111 (1.11253, 13.1031) -> 75 (1.36759, 14.07)
    112 (17.5898, 22.0112) -> 77 (16.596, 22.1225)
    113 (17.925, 21.069) -> 112 (17.5898, 22.0112)
    114 (18.6536, 7.7769) -> 92 (18.06, 6.9721)
    115 (12.79, -0.840532) -> 105 (12.0419, -0.17691)
    116 (6.47937, 11.0557) -> 30 (6.69682, 10.0911)
    117 (5.36533, 13.3284) -> 9 (5.89274, 14.178)
    118 (17.7852, 25.1874) -> 88 (16.9543, 24.6309)
    119 (5.05307, 18.1231) -> 58 (5.2431, 18.0445)
    120 (11.2046, 9.57309) -> 27 (10.4556, 8.91051)
    121 (19.5877, 8.13392) -> 114 (18.6536, 7.7769)
    122 (6.73647, 1.23654) -> 104 (5.7534, 1.41978)
    123 (17.9358, 7.15005) -> 92 (18.06, 6.9721)
    124 (18.7831, 25.2521) -> 118 (17.7852, 25.1874)
    125 (9.85464, 7.49209) -> 34 (9.53228, 6.74597)
    126 (18.9199, 21.1698) -> 113 (17.925, 21.069)
    127 (12.24, 17.7384) -> 78 (11.8047, 18.6386)
    128 (11.6754, 8.69089) -> 120 (11.2046, 9.57309)
    129 (4.15414, 8.68898) -> 65 (4.61095, 8.08766)
    130 (11.2905, 17.4247) -> 127 (12.24, 17.7384)
    131 (12.7816, 2.81885) -> 46 (12.8658, 3.37282)
    132 (6.59055, 19.5978) -> 12 (6.78476, 19.6527)
    133 (13.4101, -1.62508) -> 115 (12.79, -0.840532)
    134 (19.6348, 20.4705) -> 126 (18.9199, 21.1698)
    135 (12.1105, 17.4358) -> 127 (12.24, 17.7384)
    136 (20.6228, 20.6251) -> 134 (19.6348, 20.4705)
    137 (13.7099, -1.5568) -> 133 (13.4101, -1.62508)
    138 (14.3206, 24.0956) -> 110 (15.2888, 24.3459)
    139 (14.0519, 21.8361) -> 66 (14.9103, 21.323)
    140 (13.2098, 17.4946) -> 127 (12.24, 17.7384)
    141 (17.0455, 6.69462) -> 123 (17.9358, 7.15005)
    142 (12.4329, 8.03795) -> 128 (11.6754, 8.69089)
    143 (18.8006, 26.2519) -> 124 (18.7831, 25.2521)
    144 (19.7997, 26.2946) -> 143 (18.8006, 26.2519)
    145 (20.3256, 8.80887) -> 121 (19.5877, 8.13392)
    146 (20.0816, 9.77866) -> 145 (20.3256, 8.80887)
    147 (6.11446, 21.1282) -> 18 (5.6467, 21.297)
    148 (13.4982, 0.823532) -> 102 (12.5047, 0.709579)
    149 (11.7966, 2.99184) -> 131 (12.7816, 2.81885)
    150 (20.9746, 10.2289) -> 146 (20.0816, 9.77866)
    151 (21.7958, 10.7995) -> 150 (20.9746, 10.2289)
    152 (3.72946, 7.61545) -> 65 (4.61095, 8.08766)
    153 (21.2291, 19.8299) -> 136 (20.6228, 20.6251)
    154 (11.0557, 17.3373) -> 130 (11.2905, 17.4247)
    155 (19.888, 27.2907) -> 144 (19.7997, 26.2946)
    156 (8.82815, 19.5851) -> 21 (8.58047, 20.2333)
    157 (3.67131, 24.4942) -> 103 (3.64051, 23.4946)
    158 (4.2567, 7.66459) -> 152 (3.72946, 7.61545)
    159 (20.9389, 4.24401) -> 87 (20.0268, 3.83411)
    160 (19.7231, 7.14314) -> 121 (19.5877, 8.13392)
    161 (21.0586, 3.58986) -> 159 (20.9389, 4.24401)
    162 (5.03212, 0.727133) -> 104 (5.7534, 1.41978)
    163 (6.56729, 27.4084) -> 51 (7.45375, 26.9456)
    164 (22.4567, 11.55) -> 151 (21.7958, 10.7995)
    165 (20.3961, 9.45043) -> 146 (20.0816, 9.77866)
    166 (3.11764, 24.3949) -> 157 (3.67131, 24.4942)
    167 (14.1751, 17.2334) -> 140 (13.2098, 17.4946)
    168 (5.25607, 0.0480563) -> 162 (5.03212, 0.727133)
    169 (21.6799, 2.80631) -> 161 (21.0586, 3.58986)
    170 (6.20442, 27.9326) -> 163 (6.56729, 27.4084)
    171 (8.52578, 16.6659) -> 96 (7.83669, 16.9609)
    172 (13.5901, 24.7785) -> 138 (14.3206, 24.0956)
    173 (17.8249, 8.3366) -> 114 (18.6536, 7.7769)
    174 (18.577, 1.70736) -> 69 (17.614, 1.97682)
    175 (4.33448, 25.2426) -> 157 (3.67131, 24.4942)
    176 (12.7292, -2.35746) -> 133 (13.4101, -1.62508)
    177 (15.5267, 22.1124) -> 68 (15.9075, 21.3973)
    178 (19.5716, 28.2394) -> 155 (19.888, 27.2907)
    179 (13.3574, 7.657) -> 142 (12.4329, 8.03795)
    180 (2.34253, 23.7631) -> 166 (3.11764, 24.3949)
    181 (19.6348, 10.6733) -> 146 (20.0816, 9.77866)
    182 (19.2213, 0.942599) -> 174 (18.577, 1.70736)
    183 (10.809, 3.14879) -> 149 (11.7966, 2.99184)
    184 (22.0108, 19.2062) -> 153 (21.2291, 19.8299)
    185 (22.7302, 18.5117) -> 184 (22.0108, 19.2062)
    186 (7.72477, 8.77777) -> 22 (8.03338, 9.72896)
    187 (17.2382, 21.6358) -> 112 (17.5898, 22.0112)
    188 (5.2201, -0.951297) -> 168 (5.25607, 0.0480563)
    189 (5.24045, 28.1986) -> 170 (6.20442, 27.9326)
    190 (4.3842, -1.50019) -> 188 (5.2201, -0.951297)
    191 (7.55256, 6.46069) -> 67 (8.34775, 5.85433)
    192 (16.5725, 1.2311) -> 101 (17.1027, 1.11738)
    193 (22.3708, 12.5463) -> 164 (22.4567, 11.55)
