Parent Map for Subproblem Tree 283
======================================
Child ID (x, y) -> Parent ID (x, y)
    1 (2.50125, 13.6785) -> 0 (1, 15)
    2 (3.25674, 11.8267) -> 1 (2.50125, 13.6785)
    3 (1.6091, 16.905) -> 0 (1, 15)
    4 (3.94205, 15.0657) -> 2938 (2.3259, 16.171)
    5 (4.91572, 10.7097) -> 5360 (3.22346, 11.7675)
    6 (5.40546, 16.4289) -> 11689 (3.47539, 16.9424)
    7 (6.28647, 9.2533) -> 6186 (4.74843, 10.4741)
    8 (5.24493, 7.5459) -> 15378 (3.48118, 8.38821)
    9 (4.16929, 5.85978) -> 17829 (2.17649, 5.80687)
    10 (5.74308, 18.4002) -> 17082 (4.03607, 17.4102)
    11 (6.1278, 20.3628) -> 6709 (4.22278, 19.7949)
    12 (8.01826, 19.71) -> 15837 (6.03926, 19.9438)
    13 (9.99459, 20.0168) -> 18950 (8.09496, 20.4031)
    14 (7.22332, 15.595) -> 5431 (5.83709, 17.0127)
    15 (7.34851, 15.337) -> 6685 (5.6395, 16.3112)
    16 (6.91935, 14.1304) -> 7805 (4.96539, 14.5187)
    17 (2.95707, 4.26903) -> 10143 (1.78747, 5.78591)
    18 (8.12896, 8.47533) -> 16815 (6.19934, 8.12745)
    19 (11.8707, 19.3238) -> 13 (9.99459, 20.0168)
    20 (13.4006, 18.0356) -> 19 (11.8707, 19.3238)
    21 (5.76874, 22.3304) -> 7438 (4.10289, 21.2313)
    22 (5.75236, 23.0742) -> 14806 (4.41857, 21.6062)
    23 (10.0583, 19.9545) -> 2723 (8.12225, 20.3003)
    24 (9.87509, 7.50014) -> 5840 (8.03278, 7.05927)
    25 (0.542011, 13.5389) -> 0 (1, 15)
    26 (10.9713, 5.8273) -> 15165 (9.29071, 4.84234)
    27 (12.1774, 21.3001) -> 9448 (10.3961, 22.2075)
    28 (7.63167, 20.5644) -> 10762 (5.72757, 20.92)
    29 (2.67325, 4.11692) -> 11531 (1.52908, 5.73095)
    30 (14.2306, 16.216) -> 13751 (14.4653, 18.1366)
    31 (12.7836, 6.67326) -> 18079 (11.1824, 5.52667)
    32 (4.58161, 14.1922) -> 2943 (2.60245, 14.0696)
    33 (14.1083, 20.7789) -> 16748 (12.8398, 22.3049)
    34 (9.8116, 20.8733) -> 11039 (7.96653, 21.0658)
    35 (5.35712, 4.78693) -> 19595 (3.39309, 5.01276)
    36 (2.39734, 6.78723) -> 9724 (0.564773, 7.36563)
    37 (4.29469, 20.7118) -> 19671 (2.56201, 19.7867)
    38 (4.99942, 2.81918) -> 10395 (3.67756, 4.26228)
    39 (6.31478, 22.8406) -> 12513 (5.07271, 21.2853)
    40 (16.1065, 20.8645) -> 19747 (15.4975, 22.6732)
    41 (6.99329, 2.97565) -> 6728 (5.19931, 3.39575)
    42 (13.1466, 19.2177) -> 11526 (11.8581, 20.717)
    43 (15.139, 14.4342) -> 18925 (16.541, 15.7423)
    44 (14.0591, 5.13284) -> 13937 (12.8369, 3.55139)
    45 (17.7798, 21.9599) -> 11527 (16.1865, 23.1323)
    46 (16.875, 13.4411) -> 17624 (17.7839, 15.2175)
    47 (14.0648, 20.1966) -> 18983 (12.6332, 21.4947)
    48 (15.9067, 4.36701) -> 9767 (14.2034, 3.33264)
    49 (2.57469, 2.11935) -> 16105 (1.4505, 3.52017)
    50 (16.1855, 16.6382) -> 4456 (15.9346, 18.6152)
    51 (16.6054, 11.4594) -> 4445 (16.7093, 9.46358)
    52 (8.27951, 23.2146) -> 12343 (6.63322, 22.1023)
    53 (1.78061, 11.3381) -> 6439 (0.834145, 13.093)
    54 (10.2474, 23.5717) -> 17015 (8.31805, 23.52)
    55 (17.8597, 4.79794) -> 19624 (16.3806, 3.50909)
    56 (19.4833, 20.9121) -> 17983 (18.3317, 22.3831)
    57 (21.0759, 22.1219) -> 17704 (20.0848, 23.6609)
    58 (17.5252, 6.76975) -> 18191 (17.3539, 4.82257)
    59 (20.825, 19.4288) -> 16011 (19.9401, 21.1953)
    60 (10.6171, 9.35741) -> 11030 (9.33944, 7.83006)
    61 (10.3238, 3.93501) -> 16112 (8.42969, 3.32279)
    62 (18.4939, 10.8008) -> 14380 (18.4055, 8.80451)
    63 (2.50958, 21.6137) -> 19118 (0.856278, 20.4971)
    64 (1.0288, 4.58563) -> 14531 (0.10666, 6.31953)
    65 (18.9965, 4.44692) -> 12707 (17.5644, 3.08049)
    66 (0.421766, 3.35565) -> 18462 (0.762392, 5.30007)
    67 (8.82532, 3.4867) -> 14276 (7.11528, 2.66911)
    68 (4.77831, 21.3485) -> 4462 (3.09064, 20.2857)
    69 (13.746, 18.3814) -> 4966 (12.2788, 19.7127)
    70 (6.50163, 18.7966) -> 18023 (4.64667, 19.2929)
    71 (19.848, 2.63723) -> 18742 (18.3385, 1.58903)
    72 (15.2902, 2.46441) -> 14521 (13.4142, 1.8506)
    73 (4.33446, 19.912) -> 7855 (2.4274, 19.6437)
    74 (0.196787, 12.9938) -> 7540 (1.98455, 13.5242)
    75 (19.4398, 12.563) -> 19773 (20.0038, 14.3956)
    76 (15.1605, 22.058) -> 17217 (13.5369, 22.9797)
    77 (15.0422, 4.36652) -> 17315 (13.6569, 2.98005)
    78 (21.4933, 3.77424) -> 19009 (19.8803, 2.89064)
    79 (8.61333, 17.033) -> 14362 (6.86894, 17.9911)
    80 (10.1788, 7.64111) -> 10892 (8.35668, 7.01368)
    81 (19.9813, 21.6213) -> 19295 (18.3626, 22.6574)
    82 (11.8269, 9.26554) -> 8967 (11.256, 7.39462)
    83 (7.57634, 21.013) -> 13653 (5.6375, 21.2275)
    84 (12.2995, 5.76098) -> 15708 (10.5913, 4.76441)
    85 (21.024, 1.01951) -> 16557 (19.1508, 0.860118)
    86 (16.1765, 18.6382) -> 14674 (15.7, 20.5676)
    87 (15.4064, 22.5383) -> 6024 (13.6005, 23.0964)
    88 (10.9993, 2.05253) -> 19985 (9.09963, 1.5945)
    89 (11.1188, 4.83953) -> 11767 (9.63184, 3.5577)
    90 (17.8075, 7.00977) -> 13984 (16.6107, 5.52144)
    91 (1.77731, 19.7526) -> 15310 (0.225935, 18.5523)
    92 (6.0391, 12.8186) -> 13236 (4.05597, 12.8694)
    93 (15.9978, 6.58097) -> 17187 (14.7168, 5.0903)
    94 (8.46572, 10.4468) -> 1358 (6.56438, 9.84478)
    95 (23.0179, 21.6438) -> 14541 (21.6211, 23.0691)
    96 (1.07587, 15.7879) -> 1712 (0.200313, 16.7842)
    97 (21.2462, 0.197899) -> 18465 (19.3639, 0.23117)
    98 (4.78103, 22.9553) -> 17322 (2.89237, 22.3377)
    99 (15.9975, 9.55403) -> 5348 (15.7531, 7.5703)
    100 (4.87442, 15.3128) -> 17616 (2.93685, 15.3523)
    101 (12.3579, 0.740222) -> 19737 (10.4877, 0.210533)
    102 (4.51045, 19.1684) -> 12322 (2.76938, 18.4831)
    103 (13.0892, 18.15) -> 7939 (11.9961, 19.8183)
    104 (19.4438, 4.02036) -> 16849 (18.1066, 2.5457)
