Parent Map for Subproblem Tree 47
======================================
Child ID (x, y) -> Parent ID (x, y)
    1 (2.93005, 14.4757) -> 0 (1, 15)
    2 (4.35988, 13.0773) -> 6000 (4.06685, 12.7724)
    3 (6.14704, 13.9751) -> 7795 (6.02148, 13.1481)
    4 (7.20555, 12.2782) -> 9148 (6.8137, 12.3581)
    5 (3.69732, 16.3227) -> 8897 (3.40066, 16.194)
    6 (6.73279, 10.3348) -> 9438 (4.95737, 11.0311)
    7 (5.52919, 8.73754) -> 3730 (4.24784, 9.59763)
    8 (8.31132, 9.10674) -> 6960 (6.97152, 9.84355)
    9 (8.04129, 14.6168) -> 4954 (8.02682, 14.503)
    10 (8.08829, 16.6162) -> 9735 (7.89447, 14.752)
    11 (10.0882, 16.5927) -> 7017 (9.28317, 15.6156)
    12 (12.0278, 16.105) -> 9627 (13.6149, 15.4599)
    13 (10.2023, 8.45546) -> 6071 (8.80054, 9.0677)
    14 (4.93163, 6.82889) -> 6005 (4.13892, 7.82985)
    15 (10.7113, 18.4932) -> 8095 (9.95515, 17.3286)
    16 (10.3291, 6.45948) -> 5080 (9.65052, 6.99171)
    17 (12.0613, 9.19319) -> 8545 (10.8668, 9.11939)
    18 (9.54147, 20.1154) -> 9809 (8.82742, 18.6419)
    19 (11.554, 4.87847) -> 4956 (10.9587, 5.31105)
    20 (14.0601, 9.26036) -> 8100 (13.2796, 9.06659)
    21 (6.79717, 13.3486) -> 8024 (6.55495, 12.9013)
    22 (13.8256, 16.9812) -> 8460 (14.1742, 15.4569)
    23 (14.8472, 18.7006) -> 8765 (14.5507, 17.2123)
    24 (15.1903, 18.191) -> 6118 (15.1122, 16.8519)
    25 (11.7312, 2.88633) -> 7166 (10.3018, 4.10605)
    26 (9.17179, 22.0809) -> 2594 (8.9503, 21.847)
    27 (9.5544, 24.044) -> 7630 (8.93324, 23.4277)
    28 (3.5395, 8.94029) -> 4892 (2.6165, 9.98761)
    29 (16.1786, 20.193) -> 8735 (16.086, 18.8259)
    30 (17.3197, 21.8356) -> 8525 (16.9604, 19.9253)
    31 (10.6192, 1.22394) -> 3693 (10.3659, 1.4401)
    32 (12.0634, -0.159697) -> 9827 (11.0151, 0.938682)
    33 (13.4246, -1.62495) -> 2554 (12.3582, -0.621236)
    34 (11.8572, -2.86716) -> 6359 (11.2623, -2.09563)
    35 (12.5277, -4.7514) -> 9828 (11.6441, -3.44629)
    36 (2.69885, 18.0556) -> 1550 (1.83058, 16.5439)
    37 (4.42721, 19.062) -> 8224 (3.2612, 17.6628)
    38 (8.47053, 18.9991) -> 4897 (8.13051, 17.3406)
    39 (12.1287, -1.95797) -> 3242 (12.0604, -1.87101)
    40 (12.7469, -5.81486) -> 8673 (11.7106, -4.32881)
    41 (4.34313, 5.34089) -> 2933 (3.63602, 7.0782)
    42 (14.7023, -6.23487) -> 6177 (14.3639, -5.82294)
    43 (16.3793, 22.7567) -> 7519 (16.12, 21.2589)
    44 (15.6456, 8.04116) -> 9524 (14.5541, 8.14355)
    45 (8.78691, 0.422298) -> 9313 (8.22465, 1.42136)
    46 (8.28847, 9.65188) -> 9153 (7.53347, 9.90772)
    47 (10.3422, -2.99426) -> 3872 (9.79319, -2.06059)
    48 (6.68223, 18.4142) -> 3150 (5.03479, 17.3597)
    49 (15.3005, -0.931455) -> 3793 (14.0021, 0.327649)
    50 (9.19683, -4.63382) -> 9975 (9.02296, -4.0065)
    51 (7.23246, -4.25794) -> 7624 (6.45477, -2.53151)
    52 (14.3899, 22.5507) -> 6823 (14.4653, 21.8847)
    53 (6.98846, -3.20575) -> 8425 (6.17291, -1.3877)
    54 (17.3745, 9.04648) -> 6220 (16.1076, 9.06612)
    55 (5.83724, -5.6909) -> 7566 (5.71878, -5.00168)
    56 (3.15892, 3.72917) -> 7881 (2.89761, 5.05798)
    57 (18.9785, 10.2412) -> 7823 (17.9637, 10.0319)
    58 (3.12187, 15.5942) -> 270 (2.41832, 15.4673)
    59 (20.5366, 8.98728) -> 7784 (18.6977, 9.01949)
    60 (12.2652, -6.13217) -> 9929 (11.55, -4.86516)
    61 (3.90329, -5.18117) -> 8269 (3.54766, -4.03097)
    62 (1.68001, 19.7766) -> 4774 (1.57569, 19.0355)
    63 (19.5401, 12.1607) -> 9257 (18.6863, 11.6897)
    64 (10.8975, 0.813186) -> 3693 (10.3659, 1.4401)
