Parent Map for Subproblem Tree 4
======================================
Child ID (x, y) -> Parent ID (x, y)
    1 (2.24678, 13.4362) -> 0 (1, 15)
    2 (4.21863, 13.1018) -> 1 (2.24678, 13.4362)
    3 (5.48569, 14.6492) -> 2341 (4.07864, 14.0426)
    4 (0.906567, 11.9516) -> 1839 (0.986486, 13.6718)
    5 (-0.24308, 16.5668) -> 0 (1, 15)
    6 (-0.00821099, 10.1731) -> 1352 (0.482056, 12.1047)
    7 (7.30044, 13.8086) -> 1515 (5.86348, 15.1667)
    8 (-2.15357, 17.1584) -> 5 (-0.24308, 16.5668)
    9 (0.442017, 8.22444) -> 2080 (-0.0611464, 9.88128)
    10 (0.233396, 6.23535) -> 9 (0.442017, 8.22444)
    11 (-3.78103, 15.9959) -> 3072 (-2.35331, 14.7236)
    12 (2.11412, 5.55501) -> 3104 (1.01954, 7.06259)
    13 (2.6005, 3.61505) -> 3230 (0.837988, 4.26495)
    14 (1.96254, 9.8323) -> 3196 (1.40276, 11.6991)
    15 (4.37444, 2.69139) -> 13 (2.6005, 3.61505)
    16 (-5.25916, 14.6486) -> 3945 (-4.6872, 12.7346)
    17 (4.04838, 0.718147) -> 342 (2.38543, 1.69486)
    18 (2.5283, -0.581613) -> 2557 (1.49476, 0.890469)
    19 (3.96718, 6.30745) -> 2839 (2.06321, 6.35218)
    20 (-1.21415, 4.85528) -> 3006 (-0.866553, 6.76426)
    21 (5.79165, -0.262154) -> 17 (4.04838, 0.718147)
    22 (6.92728, -1.90847) -> 21 (5.79165, -0.262154)
    23 (8.7575, 15.1786) -> 3747 (7.32515, 15.7982)
    24 (8.89404, -1.54538) -> 22 (6.92728, -1.90847)
    25 (-5.2692, 17.3321) -> 3930 (-3.60185, 16.9302)
    26 (10.8887, -1.39889) -> 24 (8.89404, -1.54538)
    27 (0.989657, -1.85933) -> 3987 (-0.577478, -0.839973)
    28 (-4.60594, 17.7978) -> 3828 (-3.49401, 16.1552)
    29 (4.91697, 11.2277) -> 1888 (3.46452, 12.4496)
    30 (1.17011, 4.78585) -> 10 (0.233396, 6.23535)
    31 (12.8459, -1.8104) -> 26 (10.8887, -1.39889)
