ID,W_Distance,W_Risk,W_Time,Cost_Distance,Cost_Risk,Cost_Time
0,1,0,0,20.0154,0.959798,10.0077
1,0,1,0,20.3631,0.959532,10.1816
2,0,0,1,24.5904,2.81677,2.21509
3,0,0.53724,0.46276,23.2254,1.25629,2.55511
4,0.848653,0,0.151347,20.9041,1.02116,5.45632
5,0,0.876692,0.123308,23.0695,1.07923,3.25004
6,0.683709,0.169924,0.146367,21.0061,1.0274,5.44864
7,0.679854,0,0.320146,21.6359,1.19671,3.42483
8,0,0.141473,0.858527,24.0546,1.70287,2.29795
9,0.493279,0.272231,0.23449,21.4935,1.08475,4.24613
10,0.479654,0.279551,0.240795,21.7244,1.22097,3.4463
11,0,0.745813,0.254187,22.7531,1.18442,2.88434
12,0.497215,0,0.502785,22.0797,1.23136,2.95804
13,0,0.296943,0.703057,23.7533,1.35287,2.45999
14,0.781386,0.117448,0.101166,20.2613,0.995985,10.1306
15,0.683709,0.169924,0.146367,21.145,1.03618,4.99908
16,0.891867,0,0.108133,20.3176,0.991328,10.1588
17,0,0.899768,0.100232,22.8111,1.07844,3.17712
18,0,0.899768,0.100232,22.6848,1.05625,3.56868
19,0.80445,0,0.19555,21.073,1.08499,5.56718
20,0,0.132777,0.867223,24.3207,2.0416,2.23881
21,0.891867,0,0.108133,20.1051,0.980173,10.0526
22,0,0.352197,0.647803,23.3187,1.56395,2.34624
23,0,0.670047,0.329953,23.3037,1.26912,2.5307
24,0,0.781963,0.218037,23.6469,1.21381,2.71404
25,0.697124,0,0.302876,21.5551,1.13545,3.82162
26,0,0.212297,0.787703,23.8094,1.44808,2.38185
27,0.561078,0,0.438922,22.1017,1.3398,2.96578
28,0,0.8724,0.1276,22.9257,1.15227,2.85533
29,0,0.8724,0.1276,23.0054,1.09851,3.10915
30,0,0.890409,0.109591,22.9917,1.10263,2.99829
31,0.890732,0,0.109268,20.2031,1.00791,10.1015
32,0,0.890409,0.109591,22.4494,1.0892,3.26233
33,0,0.913164,0.0868358,22.255,1.06081,3.40384
34,0.891867,0,0.108133,20.3287,1.00181,10.1644
35,0.80445,0,0.19555,21.0278,1.02051,6.58065
36,0,0.157745,0.842255,24.3039,1.77939,2.27346
37,0.891867,0,0.108133,20.182,0.984121,10.091
38,0.890732,0,0.109268,20.3037,0.99359,10.1519
39,0,0.727411,0.272589,23.7079,1.16405,2.85567
40,0.747444,0,0.252556,21.0281,1.08231,5.34754
41,0,0.30323,0.69677,23.8032,1.45741,2.40937
42,0.891867,0,0.108133,20.267,0.992277,10.1335
43,0.679871,0,0.320129,21.5121,1.16264,3.68821
44,0,0.90834,0.0916599,22.8209,1.08523,3.20341
45,0,0.90834,0.0916599,23.0412,1.08752,3.3248
46,0.891867,0,0.108133,20.1597,0.981998,10.0798
47,0.536134,0,0.463866,21.8914,1.37751,3.24984
48,0,0.136373,0.863627,23.9926,2.21055,2.2242
49,0.891867,0,0.108133,20.1765,0.980804,10.0883
50,0,0.409577,0.590423,23.2318,1.38217,2.48548
51,0,0.637644,0.362356,23.221,1.31257,2.48099
52,0.480768,0,0.519232,22.4463,1.46039,2.7576
53,0,0.194025,0.805975,23.8258,1.62222,2.30167
54,0.891867,0,0.108133,20.2244,0.991554,10.1122
55,0,0.857843,0.142157,23.0053,1.10931,3.01736
56,0,0.857843,0.142157,23.4644,1.10656,3.06814
57,0.878095,0,0.121905,20.1047,0.990674,10.0523
58,0.891867,0,0.108133,20.1841,0.984013,10.0921
59,0.80445,0,0.19555,21.0425,1.09401,5.02143
60,0,0.115035,0.884965,23.5419,1.79855,2.29233
61,0.878095,0,0.121905,20.2863,0.98664,10.1431
62,0.891867,0,0.108133,20.1906,0.980881,10.0953
63,0,0.722326,0.277674,23.1422,1.18007,2.75057
64,0.656404,0,0.343596,21.5068,1.18577,3.56718
65,0.878095,0,0.121905,20.1282,0.981259,10.0641
66,0.891867,0,0.108133,20.0641,0.978588,10.0321
67,0.514329,0,0.485671,22.3172,1.3479,2.83474
68,0,0.903118,0.0968822,23.0871,1.10345,3.12197
69,0.878095,0,0.121905,20.244,0.989783,10.122
70,0,0.903118,0.0968822,22.8225,1.07795,3.30862
71,0.882715,0,0.117285,20.2116,0.981222,10.1058
72,0,0.127731,0.872269,24.4548,2.23588,2.25766
73,0.878095,0,0.121905,20.1593,0.989626,10.0797
74,0.891867,0,0.108133,20.1651,1.00569,10.0825
75,0,0.632021,0.367979,23.6119,1.30984,2.52141
76,0.80445,0,0.19555,20.1516,0.988148,10.0758
77,0.878095,0,0.121905,20.1894,0.990839,10.0947
78,0,0.174339,0.825661,23.8778,1.70091,2.29514
79,0.80445,0,0.19555,21.4227,1.25904,3.63162
80,0,0.858147,0.141853,23.3037,1.1226,2.93767
81,0,0.858147,0.141853,23.3572,1.15122,2.85164
82,0.878095,0,0.121905,20.2881,0.987493,10.1441
83,0.519236,0,0.480764,21.8547,1.28294,3.10361
84,0.878095,0,0.121905,20.1243,0.981466,10.0622
85,0.882715,0,0.117285,20.3947,1.01094,10.1973
86,0,0.105541,0.894459,24.4977,1.90288,2.28515
