ID,W_Distance,W_Risk,W_Time,Cost_Distance,Cost_Risk,Cost_Time
0,1,0,0,20.1279,199504,1.18025
1,0,1,0,31.9618,1.76454,13.5624
2,0,0,1,22.7949,207.571,0.238517
3,0.922909,0.0770908,0,21.8832,13.7273,2.26529
4,0.454192,0,0.545808,23.3172,63.3548,1.36935
5,0.784349,0.0655169,0.150135,25.6255,2.44627,9.26176
6,0.947936,0.0520638,0,22.0737,5.67764,4.64089
7,0.58289,0.0211672,0.395943,22.2308,9.46789,2.4435
8,0.682791,0.0241051,0.293104,21.3359,14.7925,2.71619
9,0.605812,0.0159879,0.3782,22.4463,13.1027,2.68898
10,0,0.998457,0.00154301,28.8826,2.24297,11.8133
