ID,W_Distance,W_Risk,W_Time,Cost_Distance,Cost_Risk,Cost_Time
0,1,0,0,20.1936,49.5278,10.0968
1,0,1,0,43.9008,2.97585,21.9504
2,0,0,1,25.3565,101.833,2.2156
3,0,0.541557,0.458443,30.3654,3.26123,2.6419
4,0.662264,0.337736,0,21.3114,6.68474,10.6557
5,0.634225,0.198088,0.167687,21.0672,7.01209,10.5336
6,0,0.0196688,0.980331,27.9665,4.61324,2.31639
7,0.427786,0.133611,0.438603,26.1542,5.8658,3.1852
8,0.473637,0.285055,0.241307,21.1192,6.73562,10.5596
9,0.465921,0.289234,0.244845,21.3811,7.66325,10.6906
10,0.395428,0.419859,0.184714,28.7074,4.39684,3.02583
11,0.53492,0.167072,0.298008,25.1886,7.12794,3.0333
12,0.0661033,0.933897,0,22.592,6.81697,11.296
13,0,0.982341,0.0176587,36.2688,4.54322,18.1344
14,0,0.52762,0.47238,32.4444,3.29952,3.29776
15,0,0.431522,0.568478,31.2504,3.40352,2.49432
16,0.483416,0.27976,0.236824,21.3096,6.54533,10.6548
17,0.466064,0.289157,0.244779,21.2427,6.88695,10.6214
18,0.705329,0.0261845,0.268486,21.2597,8.92081,10.6299
19,0.390479,0.421382,0.188139,27.638,3.67149,2.88841
20,0.412304,0.414665,0.173031,21.5985,7.19609,10.7992
21,0.69109,0.0721299,0.23678,21.5087,6.98743,10.7544
22,0.884754,0.115246,0,21.4085,8.5988,10.7042
23,0.472561,0.285638,0.241801,21.0495,7.06536,10.5247
24,0.472234,0.285815,0.241951,25.9449,5.17987,2.41878
25,0.75327,0,0.24673,21.3519,31.0592,10.6759
26,0.395428,0.419859,0.184714,26.849,4.50958,2.70949
27,0.7155,0.0664302,0.218069,21.0849,7.49955,10.5425
28,0.705413,0.0687857,0.225802,21.3265,6.83257,10.6632
29,0.447669,0.403781,0.14855,21.4894,6.69773,10.7447
30,0.0972887,0.902711,0,31.1717,3.25947,2.8951
31,0.645005,0.354995,0,21.8857,7.37584,10.9428
32,0.465577,0.28942,0.245002,25.7797,5.68839,3.43295
33,0.75151,0.134571,0.113919,21.334,7.33818,10.667
34,0.75327,0,0.24673,20.9828,23.2007,10.4914
35,0.395428,0.419859,0.184714,27.1,4.69422,3.13903
36,0.705427,0.0687823,0.22579,21.3679,7.59813,10.6839
37,0.693002,0.0716837,0.235315,21.1307,7.18792,10.5654
38,0.463148,0.399017,0.137836,21.3929,6.80587,10.6965
39,0.479198,0.282044,0.238758,25.7354,5.35636,3.21151
40,0.74529,0.13794,0.11677,22.0887,7.16995,11.0444
41,0.75327,0,0.24673,20.7021,13.2138,10.351
