Iteration,w1,w2,w3,f1,f2,f3,MaxRegret,Source
-1,1,0,0,20.0154,0.959798,10.0077,0,corner
-1,0,1,0,20.3631,0.959532,10.1816,0,corner
-1,0,0,1,24.5904,2.81677,2.21509,0,corner
0,0,0.53724,0.46276,21.6229,1.02171,0.456258,0.354229,planned
0,0,0.53724,0.46276,21.6229,1.02171,0.456258,0,tree_path
0,0,0.53724,0.46276,21.5599,1.01754,0.48512,0,tree_path
0,0,0.53724,0.46276,21.5644,1.02028,0.458707,0,tree_path
0,0,0.53724,0.46276,21.6229,1.02171,0.456258,0,tree_path
0,0,0.53724,0.46276,21.6285,1.02184,0.456253,0,tree_path
1,0.865953,0.0720156,0.0620317,20.0807,0.979999,0.721315,0.0566095,planned
1,0.865953,0.0720156,0.0620317,20.0807,0.979999,0.721315,0,tree_path
1,0.865953,0.0720156,0.0620317,20.2431,0.982341,0.62963,0,tree_path
1,0.865953,0.0720156,0.0620317,20.0807,0.979999,0.721315,0,tree_path
1,0.865953,0.0720156,0.0620317,20.1074,0.980271,0.7125,0,tree_path
2,0.865953,0.0720156,0.0620317,20.0845,0.98325,0.680897,0.0566095,planned
2,0.865953,0.0720156,0.0620317,20.0845,0.98325,0.680897,0,tree_path
2,0.865953,0.0720156,0.0620317,20.0845,0.98325,0.680897,0,tree_path
2,0.865953,0.0720156,0.0620317,20.1767,0.984318,0.67656,0,tree_path
2,0.865953,0.0720156,0.0620317,20.071,0.983096,0.681212,0,tree_path
3,0,0.977411,0.0225887,20.1318,0.982368,0.637878,0.0209975,planned
3,0,0.977411,0.0225887,20.1318,0.982368,0.637878,0,tree_path
3,0,0.977411,0.0225887,20.1318,0.982368,0.637878,0,tree_path
3,0,0.977411,0.0225887,20.4788,0.986829,0.621496,0,tree_path
3,0,0.977411,0.0225887,20.1247,0.98219,0.641322,0,tree_path
3,0,0.977411,0.0225887,20.162,0.982725,0.635447,0,tree_path
4,0,0.991425,0.00857468,20.112,0.980347,0.645447,0.00797068,planned
4,0,0.991425,0.00857468,20.112,0.980347,0.645447,0,tree_path
4,0,0.991425,0.00857468,20.112,0.980347,0.645447,0,tree_path
4,0,0.991425,0.00857468,20.1005,0.980216,0.649857,0,tree_path
4,0,0.991425,0.00857468,20.1661,0.981005,0.643387,0,tree_path
5,0,0.992172,0.00782794,20.0838,0.980187,0.704377,0.00727654,planned
5,0,0.992172,0.00782794,20.0838,0.980187,0.704377,0,tree_path
5,0,0.992172,0.00782794,20.0838,0.980187,0.704377,0,tree_path
5,0,0.992172,0.00782794,20.085,0.9802,0.70434,0,tree_path
6,0,0.992184,0.00781619,20.1724,0.981773,0.725403,0.00726562,planned
7,0,0.99157,0.00842983,20.0681,0.980804,0.670894,0.00783603,planned
7,0,0.99157,0.00842983,20.0681,0.980804,0.670894,0,tree_path
7,0,0.99157,0.00842983,20.0681,0.980804,0.670894,0,tree_path
7,0,0.99157,0.00842983,20.0895,0.981056,0.665083,0,tree_path
8,0,0.99198,0.00801976,20.0708,0.979431,0.695889,0.00745485,planned
8,0,0.99198,0.00801976,20.0516,0.979198,0.695404,0,tree_path
8,0,0.99198,0.00801976,20.0915,0.97964,0.689756,0,tree_path
9,0,0.992241,0.00775942,20.1148,0.983104,0.638141,0.00721285,planned
9,0,0.992241,0.00775942,20.1148,0.983104,0.638141,0,tree_path
9,0,0.992241,0.00775942,20.1148,0.983104,0.638141,0,tree_path
9,0,0.992241,0.00775942,20.1811,0.983936,0.625415,0,tree_path
9,0,0.992241,0.00775942,20.1525,0.983563,0.63724,0,tree_path
10,0,0.991151,0.00884906,20.0855,0.978971,0.669955,0.00822573,planned
10,0,0.991151,0.00884906,20.0788,0.97908,0.654545,0,tree_path
10,0,0.991151,0.00884906,20.0788,0.978892,0.66987,0,tree_path
11,0,0.992474,0.00752584,20.0854,0.979936,0.67768,0.00699572,planned
12,0,0.992299,0.00770071,20.1088,0.979229,0.710685,0.00715827,planned
13,0,0.992539,0.00746133,20.0904,0.981302,0.717951,0.00693576,planned
14,0,0.991754,0.00824629,20.1326,0.98142,0.685623,0.00766542,planned
14,0,0.991754,0.00824629,20.1987,0.982228,0.641099,0,tree_path
15,0,0.991737,0.00826293,20.2123,0.981823,0.707302,0.00768089,planned
16,0,0.991567,0.00843269,20.2906,0.992371,0.756143,0.00783869,planned
17,0,0.987563,0.0124371,20.2833,0.988373,0.679127,0.011561,planned
18,0,0.989148,0.0108517,20.0937,0.980721,0.678791,0.0100873,planned
19,0,0.992005,0.00799543,20.1208,0.981544,0.700771,0.00743223,planned
20,0,0.991678,0.0083223,20.1377,0.983923,0.679821,0.00773608,planned
21,0,0.990807,0.0091934,20.095,0.989286,0.658123,0.00854581,planned
22,0,0.988833,0.0111671,20.1325,0.981238,0.713999,0.0103805,planned
23,0,0.991781,0.00821886,20.1096,0.980901,0.710078,0.00763992,planned
24,0,0.991911,0.00808899,20.0724,0.98071,0.694969,0.0075192,planned
24,0,0.991911,0.00808899,20.0702,0.980683,0.694471,0,tree_path
25,0,0.991995,0.00800478,20.0703,0.980059,0.662517,0.00744092,planned
25,0,0.991995,0.00800478,20.0703,0.980059,0.662517,0,tree_path
25,0,0.991995,0.00800478,20.1011,0.980508,0.635991,0,tree_path
25,0,0.991995,0.00800478,20.2149,0.981884,0.634816,0,tree_path
25,0,0.991995,0.00800478,20.0703,0.98006,0.662509,0,tree_path
25,0,0.991995,0.00800478,20.0703,0.980059,0.662517,0,tree_path
26,0,0.992266,0.00773445,20.0808,0.982388,0.718598,0.00718964,planned
27,0,0.991345,0.00865472,20.1186,0.986765,0.670675,0.00804508,planned
28,0,0.989756,0.0102438,20.0718,0.982309,0.680765,0.00952224,planned
29,0,0.991409,0.0085911,20.0883,0.981996,0.657095,0.00798595,planned
30,0,0.991547,0.00845337,20.0847,0.97887,0.710835,0.00785791,planned
30,0,0.991547,0.00845337,20.0847,0.97887,0.710835,0,tree_path
