ID,W_Distance,W_Risk,W_Time,Cost_Distance,Cost_Risk,Cost_Time
0,1,0,0,20.1494,101.356,10.0747
1,0,1,0,31.6239,1.7663,15.8119
2,0,0,1,25.4269,143.952,2.21921
3,0,0.465335,0.534665,30.5145,2.92979,2.65994
4,0.675966,0.324034,0,21.4511,3.01714,10.7255
5,0.634462,0.170098,0.195441,21.4344,3.30321,10.7172
6,0.487989,0.238256,0.273755,31.6435,2.55893,15.8217
7,0.681312,0.0562968,0.262391,21.0499,6.60585,10.525
8,0.748553,0,0.251447,21.3098,6.60157,10.6549
9,0.39556,0.382649,0.221792,21.726,2.91357,10.863
10,0.495405,0.132817,0.371778,24.7032,7.11423,3.04095
11,0.546388,0.146485,0.307127,25.1048,6.0939,2.79091
12,0.943171,0.0568294,0,20.6771,5.63673,10.3386
13,0.151235,0.0405456,0.80822,25.2915,7.20287,2.39545
14,0.0487902,0.0341059,0.917104,26.7458,5.5725,2.24438
15,0.115595,0.0309908,0.853414,25.5026,6.5368,2.33264
16,0,0.027665,0.972335,28.1724,4.56464,2.25573
17,0.879019,0.0562968,0.0646845,20.6134,7.28619,10.3067
18,0.0720748,0.927925,0,24.5863,1.98455,12.2932
19,0.831085,0.168915,0,20.8888,4.33352,10.4444
20,0.966471,0.033529,0,20.6954,8.78787,10.3477
