Iteration, w1,w2,w3, f1,f2,f3, MaxRegret, is_duplicate, wd,wr,wt
-3,1,0, 0, 20.1936,49.5278,10.0968, 0
-2,0,1, 0, 43.9008,2.97585,21.9504, 0
-1,0,0, 1, 25.3565,101.833,2.2156, 0
0,0,0.541557,0.458443, 30.3654,3.26123,2.6419, 0.412169,0,1,0,0,0,1,0,0,0,1
1,0.662264,0.337736,0, 21.3114,6.68474,10.6557, 0.154393,0,1,0,0,0,1,0,0,0.541557,0.458443
1,0.634225,0.198088,0.167687, 21.0672,7.01209,10.5336, 0.14695,0,1,0,0,0,0.541557,0.458443,0,0,1
1,0,0.0196688,0.980331, 27.9665,4.61324,2.31639, 0.019094,0,0,0.541557,0.458443,0,1,0,0,0,1
2,0.427786,0.133611,0.438603, 26.1542,5.8658,3.1852, 0.123346,0,1,0,0,0.634225,0.198088,0.167687,0,0,1
2,0.473637,0.285055,0.241307, 21.1192,6.73562,10.5596, 0.109742,0,1,0,0,0.662264,0.337736,0,0,0.541557,0.458443
2,0.465921,0.289234,0.244845, 21.3811,7.66325,10.6906, 0.107954,0,1,0,0,0,0.541557,0.458443,0.634225,0.198088,0.167687
2,0.395428,0.419859,0.184714, 28.7074,4.39684,3.02583, 0.0747723,0,0.662264,0.337736,0,0,1,0,0,0.541557,0.458443
2,0.53492,0.167072,0.298008, 25.1886,7.12794,3.0333, 0.0593344,0,0.634225,0.198088,0.167687,0,0.541557,0.458443,0,0,1
2,0.0661033,0.933897,0, 22.592,6.81697,11.296, 0.0356969,0,1,0,0,0,1,0,0.662264,0.337736,0
2,0,0.982341,0.0176587, 36.2688,4.54322,18.1344, 0.0158763,0,0,0.0196688,0.980331,0,1,0,0,0,1
2,0,0.52762,0.47238, 32.4444,3.29952,3.29776, 0.00833127,0,0,0.541557,0.458443,0,1,0,0,0.0196688,0.980331
3,0,0.431522,0.568478, 31.2504,3.40352,2.49432, 0.418912,0,0,0.982341,0.0176587,0,1,0,0,0,1
3,0.483416,0.27976,0.236824, 21.3096,6.54533,10.6548, 0.112007,0,1,0,0,0,0.541557,0.458443,0.465921,0.289234,0.244845
3,0.466064,0.289157,0.244779, 21.2427,6.88695,10.6214, 0.107987,0,1,0,0,0.473637,0.285055,0.241307,0,0.541557,0.458443
3,0.705329,0.0261845,0.268486, 21.2597,8.92081,10.6299, 0.092446,0,1,0,0,0.427786,0.133611,0.438603,0,0,1
3,0.390479,0.421382,0.188139, 27.638,3.67149,2.88841, 0.0738365,0,0.473637,0.285055,0.241307,0.662264,0.337736,0,0,0.541557,0.458443
3,0.412304,0.414665,0.173031, 21.5985,7.19609,10.7992, 0.0700432,0,0.662264,0.337736,0,0.395428,0.419859,0.184714,0,0.541557,0.458443
3,0.69109,0.0721299,0.23678, 21.5087,6.98743,10.7544, 0.0624767,0,1,0,0,0.634225,0.198088,0.167687,0.427786,0.133611,0.438603
3,0.884754,0.115246,0, 21.4085,8.5988,10.7042, 0.0526837,0,1,0,0,0,1,0,0.0661033,0.933897,0
4,0.472561,0.285638,0.241801, 21.0495,7.06536,10.5247, 0.109492,0,1,0,0,0,0.541557,0.458443,0.483416,0.27976,0.236824
4,0.472234,0.285815,0.241951, 25.9449,5.17987,2.41878, 0.109416,0,1,0,0,0.466064,0.289157,0.244779,0,0.541557,0.458443
4,0.75327,0,0.24673, 21.3519,31.0592,10.6759, 0.0885874,0,1,0,0,0.705329,0.0261845,0.268486,0,0,1
4,0.395428,0.419859,0.184714, 26.849,4.50958,2.70949, 0.0747723,1,0.662264,0.337736,0,0.412304,0.414665,0.173031,0,0.541557,0.458443
4,0.7155,0.0664302,0.218069, 21.0849,7.49955,10.5425, 0.0682687,0,1,0,0,0.69109,0.0721299,0.23678,0.427786,0.133611,0.438603
4,0.705413,0.0687857,0.225802, 21.3265,6.83257,10.6632, 0.0658751,0,1,0,0,0.427786,0.133611,0.438603,0.705329,0.0261845,0.268486
4,0.447669,0.403781,0.14855, 21.4894,6.69773,10.7447, 0.0601334,0,0.390479,0.421382,0.188139,0.662264,0.337736,0,0,0.541557,0.458443
4,0.0972887,0.902711,0, 31.1717,3.25947,2.8951, 0.0525376,0,1,0,0,0,1,0,0.884754,0.115246,0
5,0.645005,0.354995,0, 21.8857,7.37584,10.9428, 0.162282,0,1,0,0,0,1,0,0.0972887,0.902711,0
5,0.465577,0.28942,0.245002, 25.7797,5.68839,3.43295, 0.107874,0,1,0,0,0,0.541557,0.458443,0.472561,0.285638,0.241801
5,0.75151,0.134571,0.113919, 21.334,7.33818,10.667, 0.0998305,0,1,0,0,0.472234,0.285815,0.241951,0,0.541557,0.458443
5,0.75327,0,0.24673, 20.9828,23.2007,10.4914, 0.0885874,1,1,0,0,0.75327,0,0.24673,0,0,1
5,0.395428,0.419859,0.184714, 27.1,4.69422,3.13903, 0.0747723,1,0.447669,0.403781,0.14855,0.662264,0.337736,0,0,0.541557,0.458443
5,0.705427,0.0687823,0.22579, 21.3679,7.59813,10.6839, 0.0658786,0,1,0,0,0.427786,0.133611,0.438603,0.705413,0.0687857,0.225802
5,0.693002,0.0716837,0.235315, 21.1307,7.18792,10.5654, 0.0629302,0,1,0,0,0.7155,0.0664302,0.218069,0.427786,0.133611,0.438603
