Iteration,w1,w2,w3,f1,f2,f3,MaxRegret,Source
-1,1,0,0,20.0154,0.959798,10.0077,0,corner
-1,0,1,0,20.3631,0.959532,10.1816,0,corner
-1,0,0,1,24.5904,2.81677,2.21509,0,corner
0,0,0.53724,0.46276,22.9288,1.28571,2.08677,0.354229,planned
0,0,0.53724,0.46276,22.8884,1.28495,2.09848,0,tree_path
0,0,0.53724,0.46276,22.928,1.28571,2.0864,0,tree_path
0,0,0.53724,0.46276,23.1919,1.2899,2.08263,0,tree_path
0,0,0.53724,0.46276,22.8912,1.28391,2.20417,0,tree_path
0,0,0.53724,0.46276,22.9279,1.28481,2.17193,0,tree_path
1,0.867837,0,0.132163,20.7109,1.03436,5.16728,0.101153,planned
1,0.867837,0,0.132163,20.7109,1.03436,5.16728,0,tree_path
1,0.867837,0,0.132163,20.7109,1.03436,5.16728,0,tree_path
1,0.867837,0,0.132163,20.6777,1.03368,5.36082,0,tree_path
1,0.867837,0,0.132163,21.3908,1.0447,4.34586,0,tree_path
1,0.867837,0,0.132163,20.662,1.03316,5.72163,0,tree_path
1,0.867837,0,0.132163,20.7871,1.03559,4.70108,0,tree_path
2,0.647627,0,0.352373,21.2758,1.17383,2.94975,0.12049,planned
2,0.647627,0,0.352373,21.5311,1.17754,2.86194,0,tree_path
2,0.647627,0,0.352373,21.2581,1.17326,3.0385,0,tree_path
2,0.647627,0,0.352373,21.2667,1.17369,2.9452,0,tree_path
2,0.647627,0,0.352373,21.3683,1.17525,2.92574,0,tree_path
3,0,0.872867,0.127133,22.3839,1.08103,2.65883,0.099474,planned
3,0,0.872867,0.127133,22.1057,1.07614,2.79379,0,tree_path
3,0,0.872867,0.127133,22.4652,1.0823,2.65644,0,tree_path
3,0,0.872867,0.127133,22.3839,1.08103,2.65883,0,tree_path
3,0,0.872867,0.127133,22.2957,1.07953,2.66919,0,tree_path
3,0,0.872867,0.127133,22.2597,1.07868,2.70778,0,tree_path
3,0,0.872867,0.127133,22.2319,1.07799,2.72004,0,tree_path
3,0,0.872867,0.127133,22.2414,1.0783,2.71222,0,tree_path
4,0.715424,0.152886,0.13169,20.8192,1.07798,4.37262,0.0847611,planned
4,0.715424,0.152886,0.13169,20.8192,1.07798,4.37262,0,tree_path
4,0.715424,0.152886,0.13169,20.8192,1.07798,4.37262,0,tree_path
4,0.715424,0.152886,0.13169,20.8202,1.07798,4.37309,0,tree_path
4,0.715424,0.152886,0.13169,21.1021,1.08222,3.84926,0,tree_path
5,0.348663,0,0.651337,21.9051,1.32145,2.27937,0.0648681,planned
5,0.348663,0,0.651337,21.9051,1.32145,2.27937,0,tree_path
5,0.348663,0,0.651337,21.916,1.32101,2.39522,0,tree_path
5,0.348663,0,0.651337,22.0924,1.32426,2.21436,0,tree_path
5,0.348663,0,0.651337,22.0172,1.32303,2.23899,0,tree_path
5,0.348663,0,0.651337,21.906,1.32145,2.2798,0,tree_path
5,0.348663,0,0.651337,21.9051,1.32145,2.27937,0,tree_path
5,0.348663,0,0.651337,21.9055,1.32102,2.38958,0,tree_path
6,0.908065,0,0.0919346,20.0757,0.983209,10.0378,0.0703632,planned
6,0.908065,0,0.0919346,20.6985,1.02898,6.06505,0,tree_path
6,0.908065,0,0.0919346,20.8297,1.0312,5.21451,0,tree_path
7,0.80445,0,0.19555,20.8569,1.05487,4.31173,0.149666,planned
7,0.80445,0,0.19555,21.326,1.06202,3.80871,0,tree_path
7,0.80445,0,0.19555,20.8537,1.05481,4.31014,0,tree_path
7,0.80445,0,0.19555,21.0554,1.05827,3.90946,0,tree_path
7,0.80445,0,0.19555,20.8531,1.05482,4.30984,0,tree_path
8,0.575604,0,0.424396,21.2816,1.19127,2.9747,0.10709,planned
8,0.575604,0,0.424396,21.4026,1.19291,2.87577,0,tree_path
8,0.575604,0,0.424396,21.6384,1.19619,2.69227,0,tree_path
9,0.356693,0,0.643307,21.8566,1.35325,2.29854,0.066362,planned
9,0.356693,0,0.643307,21.8566,1.35325,2.29854,0,tree_path
9,0.356693,0,0.643307,22.0426,1.35585,2.20641,0,tree_path
9,0.356693,0,0.643307,21.843,1.35279,2.31636,0,tree_path
9,0.356693,0,0.643307,21.8566,1.35325,2.29854,0,tree_path
10,0.91001,0,0.0899903,20.0701,0.983504,10.035,0.0688752,planned
10,0.91001,0,0.0899903,20.8511,1.03089,5.37101,0,tree_path
11,0.80445,0,0.19555,20.8254,1.05591,4.25226,0.149666,planned
11,0.80445,0,0.19555,20.8242,1.05589,4.25166,0,tree_path
11,0.80445,0,0.19555,20.8284,1.05568,4.31844,0,tree_path
11,0.80445,0,0.19555,21.2679,1.06254,3.69752,0,tree_path
12,0.566498,0,0.433502,21.4544,1.20829,2.75249,0.105396,planned
12,0.566498,0,0.433502,21.4544,1.20829,2.75249,0,tree_path
12,0.566498,0,0.433502,21.6026,1.21029,2.57263,0,tree_path
12,0.566498,0,0.433502,21.3947,1.2074,2.86593,0,tree_path
12,0.566498,0,0.433502,21.4544,1.20829,2.75249,0,tree_path
13,0.908065,0,0.0919346,20.0648,0.97978,10.0324,0.0660009,planned
13,0.908065,0,0.0919346,20.7836,1.01411,5.90798,0,tree_path
13,0.908065,0,0.0919346,20.9656,1.01669,5.47213,0,tree_path
14,0.908065,0,0.0919346,20.0759,0.982082,10.0379,0.0660009,planned
15,0.908065,0,0.0919346,20.1106,0.99373,10.0553,0.0660009,planned
16,0.908065,0,0.0919346,20.2221,0.984687,10.111,0.0660009,planned
17,0.908065,0,0.0919346,20.1933,0.987729,10.0967,0.0660009,planned
18,0.908065,0,0.0919346,20.1479,0.989269,10.0739,0.0660009,planned
18,0.908065,0,0.0919346,20.7423,1.00941,5.25691,0,tree_path
19,0.908065,0,0.0919346,20.0599,0.982852,10.03,0.0660009,planned
19,0.908065,0,0.0919346,20.917,1.025,5.24681,0,tree_path
20,0.908065,0,0.0919346,20.0649,0.978667,10.0324,0.0660009,planned
