Parent Map for Subproblem Tree 169
======================================
Child ID (x, y) -> Parent ID (x, y)
    1 (1.90666, 14.5781) -> 0 (1, 15)
    2 (2.50184, 15.3817) -> 73762 (2.14327, 15.2834)
    3 (1.77697, 13.5866) -> 36067 (1.3331, 14.3607)
    4 (2.43139, 12.8304) -> 59798 (1.7742, 13.4954)
    5 (2.38414, 16.3748) -> 68175 (1.90335, 15.9419)
    6 (3.33107, 16.6962) -> 59575 (3.15785, 16.6071)
    7 (3.42254, 12.6977) -> 89162 (2.7727, 12.994)
    8 (4.25275, 12.1402) -> 78662 (3.75901, 12.4026)
    9 (5.01553, 11.4936) -> 64693 (4.28971, 12.0005)
    10 (5.88125, 10.993) -> 76652 (5.19152, 11.2724)
    11 (3.14571, 17.6789) -> 79589 (2.80286, 17.3407)
    12 (6.57651, 10.2743) -> 29007 (5.74182, 10.4967)
    13 (6.35848, 9.29835) -> 80189 (5.90283, 9.41847)
    14 (3.87009, 18.3683) -> 68137 (3.46305, 18.0111)
    15 (7.31019, 8.99137) -> 85699 (6.85212, 9.04899)
    16 (5.94096, 8.38968) -> 51968 (5.41443, 8.67172)
    17 (8.18435, 9.47701) -> 99991 (7.19217, 9.40382)
    18 (5.36305, 7.57358) -> 77159 (5.31144, 7.61371)
    19 (5.9977, 6.80077) -> 94534 (5.43913, 7.22231)
    20 (6.80764, 6.21427) -> 88987 (6.03795, 6.71088)
    21 (9.1307, 9.15388) -> 96159 (9.07685, 9.12128)
    22 (4.76416, 18.8162) -> 95543 (4.03367, 18.284)
    23 (5.69441, 19.1831) -> 12113 (4.945, 18.7984)
    24 (6.67292, 19.3893) -> 36242 (5.77699, 19.0208)
    25 (9.95619, 9.71831) -> 91784 (9.85925, 9.58605)
    26 (4.63451, 6.88857) -> 80580 (4.46108, 7.06766)
    27 (7.49914, 5.49189) -> 97189 (6.65799, 5.9886)
    28 (8.14289, 4.72666) -> 98026 (7.33656, 5.25123)
    29 (6.82033, 20.3784) -> 99158 (6.58172, 20.2771)
    30 (7.81913, 20.3295) -> 99255 (7.32312, 20.1658)
    31 (7.39661, 5.40002) -> 95908 (7.18781, 5.51187)
    32 (8.78678, 20.5818) -> 75364 (8.37341, 20.4982)
    33 (9.18664, 21.4984) -> 60732 (8.34188, 21.2207)
    34 (10.1863, 21.4731) -> 93956 (9.56527, 21.3935)
    35 (4.07631, 6.05887) -> 95802 (3.92546, 6.27174)
    36 (10.9503, 9.61043) -> 77640 (10.6855, 9.06313)
    37 (8.61783, 22.3209) -> 89294 (7.86634, 21.9908)
    38 (3.69654, 5.13379) -> 52980 (3.57414, 5.38974)
    39 (7.80922, 3.78397) -> 88800 (7.70873, 3.9307)
    40 (7.93708, 23.0534) -> 38193 (7.28227, 22.6037)
    41 (7.04394, 3.14027) -> 88702 (6.40016, 3.85837)
    42 (8.71414, 3.35838) -> 94226 (8.19923, 3.67565)
    43 (1.58388, 16.9744) -> 67082 (1.35642, 16.3281)
    44 (9.66024, 3.0345) -> 95808 (9.21451, 3.35555)
    45 (10.6538, 3.14804) -> 97919 (10.2353, 3.3295)
