Parent Map for Subproblem Tree 439
======================================
Child ID (x, y) -> Parent ID (x, y)
    1 (1.90666, 14.5781) -> 0 (1, 15)
    2 (2.50184, 15.3817) -> 73762 (2.14327, 15.2834)
    3 (1.77697, 13.5866) -> 14088 (1.42239, 14.2195)
    4 (2.43139, 12.8304) -> 62346 (2.07122, 13.2773)
    5 (2.38414, 16.3748) -> 70443 (1.68386, 15.692)
    6 (3.33107, 16.6962) -> 89850 (2.62984, 16.2038)
    7 (3.42254, 12.6977) -> 89781 (2.668, 13.2174)
    8 (4.25275, 12.1402) -> 52242 (3.64227, 12.6351)
    9 (5.01553, 11.4936) -> 94089 (4.2362, 12.112)
    10 (5.88125, 10.993) -> 43011 (5.25741, 11.4722)
    11 (3.14571, 17.6789) -> 83738 (3.05427, 17.5698)
    12 (6.57651, 10.2743) -> 87576 (6.24787, 10.4491)
    13 (6.35848, 9.29835) -> 78980 (5.96048, 9.58076)
    14 (3.87009, 18.3683) -> 58867 (3.74654, 18.2394)
    15 (7.31019, 8.99137) -> 57067 (6.95955, 9.18436)
    16 (5.94096, 8.38968) -> 41304 (5.59632, 8.72491)
    17 (8.18435, 9.47701) -> 84829 (7.50584, 9.65739)
    18 (5.36305, 7.57358) -> 77159 (5.31144, 7.61371)
    19 (5.9977, 6.80077) -> 84363 (5.81639, 6.96715)
    20 (6.80764, 6.21427) -> 76242 (6.19221, 6.93082)
    21 (9.1307, 9.15388) -> 72812 (8.46272, 9.23533)
    22 (4.76416, 18.8162) -> 64311 (4.30481, 18.3931)
    23 (5.69441, 19.1831) -> 67107 (4.89427, 18.5921)
    24 (6.67292, 19.3893) -> 82266 (5.89434, 18.9289)
    25 (9.95619, 9.71831) -> 59559 (9.55663, 9.52803)
    26 (4.63451, 6.88857) -> 79599 (4.4317, 7.32751)
    27 (7.49914, 5.49189) -> 75616 (7.11795, 5.93682)
    28 (8.14289, 4.72666) -> 89421 (7.55879, 5.38205)
    29 (6.82033, 20.3784) -> 86627 (6.34502, 20.0323)
    30 (7.81913, 20.3295) -> 92858 (7.03218, 19.7778)
    31 (7.39661, 5.40002) -> 90186 (6.71606, 6.12989)
    32 (8.78678, 20.5818) -> 99060 (7.983, 20.175)
    33 (9.18664, 21.4984) -> 70550 (8.81233, 21.2331)
    34 (10.1863, 21.4731) -> 97748 (9.69019, 21.2033)
    35 (4.07631, 6.05887) -> 98773 (3.90938, 6.45861)
    36 (10.9503, 9.61043) -> 26194 (10.3445, 9.22353)
    37 (8.61783, 22.3209) -> 99918 (7.87716, 21.7538)
    38 (3.69654, 5.13379) -> 86307 (3.37124, 5.94972)
    39 (7.80922, 3.78397) -> 97121 (7.49656, 4.16161)
    40 (7.93708, 23.0534) -> 99635 (7.37521, 22.5053)
    41 (7.04394, 3.14027) -> 95436 (6.8382, 3.61305)
    42 (8.71414, 3.35838) -> 76269 (8.12423, 4.0333)
    43 (1.58388, 16.9744) -> 93779 (1.43119, 16.5122)
    44 (9.66024, 3.0345) -> 92646 (9.37497, 3.53104)
    45 (10.6538, 3.14804) -> 69878 (10.0802, 3.60463)
