Length, Cost1, Paths.x, Paths.y ,Fitness, 
24.3479,10.5234,"20.0014;17.9103;16.5786;15.2446;13.3553;11.2166;7.82117;3.57235;0","14.8538;13.3716;12.5029;11.5459;10.4595;8.90015;6.72961;3.7261;1",24.4941
24.3479,10.5234,"20.0014;17.9103;16.5786;15.2446;13.3553;11.2166;7.82117;3.57235;0","14.8538;13.3716;12.5029;11.5459;10.4595;8.90015;6.72961;3.7261;1",22.0447
24.3479,10.5234,"20.0014;17.9103;16.5786;15.2446;13.3553;11.2166;7.82117;3.57235;0","14.8538;13.3716;12.5029;11.5459;10.4595;8.90015;6.72961;3.7261;1",19.5953
24.3479,10.5234,"20.0014;17.9103;16.5786;15.2446;13.3553;11.2166;7.82117;3.57235;0","14.8538;13.3716;12.5029;11.5459;10.4595;8.90015;6.72961;3.7261;1",17.1459
24.3479,10.5234,"20.0014;17.9103;16.5786;15.2446;13.3553;11.2166;7.82117;3.57235;0","14.8538;13.3716;12.5029;11.5459;10.4595;8.90015;6.72961;3.7261;1",14.6965
24.3479,10.5234,"20.0014;17.9103;16.5786;15.2446;13.3553;11.2166;7.82117;3.57235;0","14.8538;13.3716;12.5029;11.5459;10.4595;8.90015;6.72961;3.7261;1",12.2471
24.3849,6.54564,"20.0014;17.9103;16.5786;15.2446;13.3553;12.0622;8.84061;0","14.8538;13.3716;12.5029;11.5459;10.4595;9.20607;6.589;1",9.81245
24.3849,6.54564,"20.0014;17.9103;16.5786;15.2446;13.3553;12.0622;8.84061;0","14.8538;13.3716;12.5029;11.5459;10.4595;9.20607;6.589;1",8.88588
24.4909,7.53915,"20.0014;18.1995;16.4475;15.1963;13.643;12.3158;6.99215;0","14.8538;14.0304;13.1035;12.5298;11.6154;10.8498;7.35269;1",10.9501
24.641,5.60512,"20.0014;18.4438;14.6639;10.1784;6.99215;0","14.8538;13.2248;10.6144;8.48849;7.35269;1",10.5782
90.9431,6.62471,"20.0014;18.0157;12.2408;12.0117;11.205;10.0972;10.2431;9.01506;8.31006;9.99658;10.3806;8.89049;6.48885;6.45564;5.35825;5.06924;5.3306;4.77464;5.27341;4.74239;5.35335;4.6148;5.46959;4.85205;5.47539;4.53467;5.97312;4.78929;6.28337;4.11635;6.09977;4.26681;6.84403;5.50111;8.84061;9.0687;9.58387;7.71705;9.0832;4.95388;8.25819;6.19415;6.99215;0","14.8538;14.3281;13.7842;15.1115;14.3493;15.4714;14.7255;15.1352;14.6197;15.0861;14.8574;15.2736;13.5128;13.6695;11.9508;10.9729;11.6645;10.273;11.0702;10.2552;9.69466;9.66939;10.8643;11.888;10.4285;8.79901;8.25915;7.67702;7.82842;9.05803;8.80098;8.65239;7.50979;5.47459;6.589;3.50671;6.57888;3.92516;6.52616;5.43081;8.68128;9.18658;7.35269;1",12.7732
