Parent Map for Subproblem Tree 2
======================================
Child ID (x, y) -> Parent ID (x, y)
    1 (1.39291, 2.4352) -> 0 (0, 1)
    2 (2.8124, 3.84411) -> 0 (0, 1)
    3 (3.49355, 5.72455) -> 0 (0, 1)
    4 (5.46501, 6.06124) -> 0 (0, 1)
    5 (6.99215, 7.35269) -> 0 (0, 1)
    6 (6.19415, 9.18658) -> 0 (0, 1)
    7 (1.79466, 6.77991) -> 0 (0, 1)
    8 (8.84061, 6.589) -> 0 (0, 1)
    9 (10.2208, 5.14155) -> 0 (0, 1)
    10 (5.26338, 10.9568) -> 0 (0, 1)
    11 (5.94791, 12.836) -> 0 (0, 1)
    12 (1.58632, 6.32659) -> 0 (0, 1)
    13 (12.2048, 4.88956) -> 0 (0, 1)
    14 (7.82424, 13.5284) -> 1621 (7.49546, 13.0233)
    15 (4.69234, 3.16158) -> 0 (0, 1)
    16 (8.29893, 5.83864) -> 0 (0, 1)
    17 (13.3548, 6.52593) -> 9 (10.2208, 5.14155)
    18 (9.01506, 15.1352) -> 1850 (7.97618, 13.5335)
    19 (8.86472, 11.8203) -> 3 (3.49355, 5.72455)
    20 (10.8081, 16.0212) -> 6 (6.19415, 9.18658)
    21 (4.52953, 14.2461) -> 7 (1.79466, 6.77991)
    22 (1.62626, 8.7728) -> 0 (0, 1)
    23 (4.68044, 16.2404) -> 7 (1.79466, 6.77991)
    24 (12.7836, 15.7092) -> 19 (8.86472, 11.8203)
    25 (15.0894, 5.53043) -> 36 (6.68377, 2.97662)
    26 (12.4363, 17.6788) -> 1777 (11.849, 16.9187)
    27 (13.8838, 14.0389) -> 5 (6.99215, 7.35269)
    28 (16.8964, 6.38769) -> 13 (12.2048, 4.88956)
    29 (10.984, 19.0539) -> 14 (7.82424, 13.5284)
    30 (10.3501, 10.4811) -> 4 (5.46501, 6.06124)
    31 (15.6511, 14.9752) -> 335 (12.9617, 12.5277)
    32 (7.03781, 15.436) -> 11 (5.94791, 12.836)
    33 (3.28199, 17.6702) -> 22 (1.62626, 8.7728)
    34 (6.36752, 11.1791) -> 146 (5.99434, 10.6135)
    35 (16.9763, 16.4731) -> 30 (10.3501, 10.4811)
    36 (6.68377, 2.97662) -> 0 (0, 1)
    37 (18.2551, 7.85531) -> 9 (10.2208, 5.14155)
    38 (0.471607, 0.660038) -> 0 (0, 1)
    39 (16.1316, 16.9166) -> 30 (10.3501, 10.4811)
    40 (16.5001, 8.81458) -> 99 (11.0831, 6.54538)
    41 (6.45412, 4.10821) -> 0 (0, 1)
    42 (1.28279, 17.6134) -> 769 (0.895815, 15.6906)
    43 (7.72716, 1.27036) -> 0 (0, 1)
    44 (14.6081, 8.08451) -> 99 (11.0831, 6.54538)
    45 (18.9414, 16.1009) -> 1493 (18.8279, 15.9421)
    46 (1.62308, 19.5843) -> 801 (1.6047, 17.985)
    47 (1.33023, 4.34306) -> 0 (0, 1)
    48 (17.0894, 13.5854) -> 1122 (16.4475, 13.1035)
    49 (12.0773, 19.6463) -> 18 (9.01506, 15.1352)
    50 (0.29634, 21.0809) -> 1382 (-0.0784641, 19.54)
    51 (2.77714, 15.626) -> 22 (1.62626, 8.7728)
    52 (0.752174, 15.6851) -> 1289 (0.649164, 14.5444)
    53 (19.4553, 6.25546) -> 25 (15.0894, 5.53043)
    54 (14.7379, 7.4993) -> 70 (8.41334, 4.51004)
    55 (6.37805, 2.08531) -> 0 (0, 1)
    56 (14.3964, 8.23327) -> 99 (11.0831, 6.54538)
    57 (20.7501, 16.9544) -> 500 (19.5393, 16.0195)
    58 (12.3158, 10.8498) -> 1387 (10.7572, 9.42821)
    59 (5.14003, 14.8048) -> 82 (3.41588, 10.1908)
    60 (1.62416, 21.5843) -> 2305 (1.64307, 20.6608)
    61 (8.16987, 16.9479) -> 11 (5.94791, 12.836)
    62 (7.82616, 9.81071) -> 862 (7.51109, 9.42282)
    63 (5.03988, 18.2078) -> 23 (4.68044, 16.2404)
    64 (3.10045, 3.4123) -> 0 (0, 1)
    65 (10.1784, 8.48849) -> 155 (7.82117, 6.72961)
    66 (20.0437, 4.34399) -> 101 (17.7483, 4.32071)
    67 (11.7167, 7.67337) -> 16 (8.29893, 5.83864)
    68 (8.82374, 11.5442) -> 1209 (8.66194, 11.3472)
    69 (6.90187, 13.8582) -> 10 (5.26338, 10.9568)
    70 (8.41334, 4.51004) -> 15 (4.69234, 3.16158)
    71 (15.853, 3.68195) -> 221 (12.2579, 3.42096)
    72 (16.7206, 6.82677) -> 13 (12.2048, 4.88956)
    73 (9.68822, 0.877601) -> 91 (5.06319, 0.578277)
    74 (6.27246, 16.6327) -> 105 (4.71964, 12.2551)
    75 (10.8453, 16.2021) -> 2393 (10.5297, 15.7882)
    76 (7.86077, 1.35962) -> 43 (7.72716, 1.27036)
    77 (20.04, 14.4297) -> 2142 (19.3202, 13.9267)
    78 (20.0082, 8.81786) -> 124 (15.4639, 7.10396)
    79 (11.0488, 3.25752) -> 55 (6.37805, 2.08531)
    80 (13.3406, 12.1141) -> 94 (8.54487, 8.56701)
    81 (11.3924, 12.5663) -> 337 (9.49792, 10.3253)
    82 (3.41588, 10.1908) -> 47 (1.33023, 4.34306)
    83 (16.5751, 6.86935) -> 13 (12.2048, 4.88956)
    84 (5.99936, 12.9988) -> 11 (5.94791, 12.836)
    85 (3.8356, 19.8046) -> 33 (3.28199, 17.6702)
    86 (2.47885, 11.9577) -> 22 (1.62626, 8.7728)
    87 (13.6999, 7.93158) -> 99 (11.0831, 6.54538)
