Parent Map for Subproblem Tree 8
======================================
Child ID (x, y) -> Parent ID (x, y)
    1 (1.39291, 2.4352) -> 8 (8.84061, 6.589)
    2 (2.8124, 3.84411) -> 196 (6.16098, 6.98842)
    3 (3.49355, 5.72455) -> 397 (6.27457, 7.99769)
    4 (5.46501, 6.06124) -> 960 (7.29258, 7.73004)
    5 (6.99215, 7.35269) -> 0 (0, 1)
    6 (6.19415, 9.18658) -> 5 (6.99215, 7.35269)
    7 (1.79466, 6.77991) -> 196 (6.16098, 6.98842)
    8 (8.84061, 6.589) -> 5 (6.99215, 7.35269)
    9 (10.2208, 5.14155) -> 5 (6.99215, 7.35269)
    10 (5.26338, 10.9568) -> 5 (6.99215, 7.35269)
    11 (5.94791, 12.836) -> 0 (0, 1)
    12 (1.58632, 6.32659) -> 196 (6.16098, 6.98842)
    13 (12.2048, 4.88956) -> 0 (0, 1)
    14 (7.82424, 13.5284) -> 11 (5.94791, 12.836)
    15 (4.69234, 3.16158) -> 196 (6.16098, 6.98842)
    16 (8.29893, 5.83864) -> 5 (6.99215, 7.35269)
    17 (13.3548, 6.52593) -> 13 (12.2048, 4.88956)
    18 (9.01506, 15.1352) -> 11 (5.94791, 12.836)
    19 (8.86472, 11.8203) -> 5 (6.99215, 7.35269)
    20 (10.8081, 16.0212) -> 5 (6.99215, 7.35269)
    21 (4.52953, 14.2461) -> 11 (5.94791, 12.836)
    22 (1.62626, 8.7728) -> 109 (6.84403, 7.50979)
    23 (4.68044, 16.2404) -> 11 (5.94791, 12.836)
    24 (12.7836, 15.7092) -> 5 (6.99215, 7.35269)
    25 (15.0894, 5.53043) -> 13 (12.2048, 4.88956)
    26 (12.4363, 17.6788) -> 68 (8.82374, 11.5442)
    27 (13.8838, 14.0389) -> 5 (6.99215, 7.35269)
    28 (16.8964, 6.38769) -> 13 (12.2048, 4.88956)
    29 (10.984, 19.0539) -> 11 (5.94791, 12.836)
    30 (10.3501, 10.4811) -> 5 (6.99215, 7.35269)
    31 (15.6511, 14.9752) -> 335 (12.9617, 12.5277)
    32 (7.03781, 15.436) -> 11 (5.94791, 12.836)
    33 (3.28199, 17.6702) -> 6 (6.19415, 9.18658)
    34 (6.36752, 11.1791) -> 5 (6.99215, 7.35269)
    35 (16.9763, 16.4731) -> 30 (10.3501, 10.4811)
    36 (6.68377, 2.97662) -> 1639 (7.73704, 4.68201)
    37 (18.2551, 7.85531) -> 13 (12.2048, 4.88956)
    38 (0.471607, 0.660038) -> 4 (5.46501, 6.06124)
    39 (16.1316, 16.9166) -> 30 (10.3501, 10.4811)
    40 (16.5001, 8.81458) -> 13 (12.2048, 4.88956)
    41 (6.45412, 4.10821) -> 2134 (7.35068, 5.41028)
    42 (1.28279, 17.6134) -> 34 (6.36752, 11.1791)
    43 (7.72716, 1.27036) -> 8 (8.84061, 6.589)
    44 (14.6081, 8.08451) -> 13 (12.2048, 4.88956)
    45 (18.9414, 16.1009) -> 80 (13.3406, 12.1141)
    46 (1.62308, 19.5843) -> 11 (5.94791, 12.836)
    47 (1.33023, 4.34306) -> 6 (6.19415, 9.18658)
    48 (17.0894, 13.5854) -> 58 (12.3158, 10.8498)
    49 (12.0773, 19.6463) -> 18 (9.01506, 15.1352)
    50 (0.29634, 21.0809) -> 21 (4.52953, 14.2461)
    51 (2.77714, 15.626) -> 235 (6.70806, 13.4633)
    52 (0.752174, 15.6851) -> 34 (6.36752, 11.1791)
    53 (19.4553, 6.25546) -> 13 (12.2048, 4.88956)
    54 (14.7379, 7.4993) -> 13 (12.2048, 4.88956)
    55 (6.37805, 2.08531) -> 196 (6.16098, 6.98842)
    56 (14.3964, 8.23327) -> 13 (12.2048, 4.88956)
    57 (20.7501, 16.9544) -> 48 (17.0894, 13.5854)
    58 (12.3158, 10.8498) -> 5 (6.99215, 7.35269)
    59 (5.14003, 14.8048) -> 11 (5.94791, 12.836)
    60 (1.62416, 21.5843) -> 59 (5.14003, 14.8048)
    61 (8.16987, 16.9479) -> 11 (5.94791, 12.836)
    62 (7.82616, 9.81071) -> 5 (6.99215, 7.35269)
    63 (5.03988, 18.2078) -> 11 (5.94791, 12.836)
    64 (3.10045, 3.4123) -> 196 (6.16098, 6.98842)
    65 (10.1784, 8.48849) -> 5 (6.99215, 7.35269)
    66 (20.0437, 4.34399) -> 56 (14.3964, 8.23327)
    67 (11.7167, 7.67337) -> 5 (6.99215, 7.35269)
    68 (8.82374, 11.5442) -> 5 (6.99215, 7.35269)
    69 (6.90187, 13.8582) -> 11 (5.94791, 12.836)
    70 (8.41334, 4.51004) -> 16 (8.29893, 5.83864)
    71 (15.853, 3.68195) -> 9 (10.2208, 5.14155)
    72 (16.7206, 6.82677) -> 13 (12.2048, 4.88956)
    73 (9.68822, 0.877601) -> 8 (8.84061, 6.589)
    74 (6.27246, 16.6327) -> 11 (5.94791, 12.836)
    75 (10.8453, 16.2021) -> 68 (8.82374, 11.5442)
    76 (7.86077, 1.35962) -> 155 (7.82117, 6.72961)
    77 (20.04, 14.4297) -> 189 (15.6912, 12.3304)
    78 (20.0082, 8.81786) -> 17 (13.3548, 6.52593)
    79 (11.0488, 3.25752) -> 5 (6.99215, 7.35269)
    80 (13.3406, 12.1141) -> 94 (8.54487, 8.56701)
    81 (11.3924, 12.5663) -> 5 (6.99215, 7.35269)
    82 (3.41588, 10.1908) -> 1693 (4.90257, 8.93664)
    83 (16.5751, 6.86935) -> 13 (12.2048, 4.88956)
    84 (5.99936, 12.9988) -> 11 (5.94791, 12.836)
    85 (3.8356, 19.8046) -> 69 (6.90187, 13.8582)
    86 (2.47885, 11.9577) -> 399 (5.35335, 9.69466)
    87 (13.6999, 7.93158) -> 5 (6.99215, 7.35269)
    88 (0.500868, 10.4261) -> 6 (6.19415, 9.18658)
    89 (19.6998, 9.2383) -> 44 (14.6081, 8.08451)
    90 (5.58168, 18.0258) -> 11 (5.94791, 12.836)
    91 (5.06319, 0.578277) -> 16 (8.29893, 5.83864)
    92 (14.158, 17.2408) -> 24 (12.7836, 15.7092)
    93 (17.037, 13.5332) -> 58 (12.3158, 10.8498)
    94 (8.54487, 8.56701) -> 5 (6.99215, 7.35269)
    95 (0.918979, 13.2095) -> 34 (6.36752, 11.1791)
    96 (19.2085, 6.98472) -> 17 (13.3548, 6.52593)
    97 (13.5458, 3.4057) -> 9 (10.2208, 5.14155)
    98 (19.0929, 18.0739) -> 31 (15.6511, 14.9752)
    99 (11.0831, 6.54538) -> 5 (6.99215, 7.35269)
    100 (20.3135, 19.6582) -> 39 (16.1316, 16.9166)
    101 (17.7483, 4.32071) -> 17 (13.3548, 6.52593)
    102 (12.8794, 1.51998) -> 16 (8.29893, 5.83864)
    103 (6.90581, 19.5247) -> 69 (6.90187, 13.8582)
    104 (19.3101, 2.48338) -> 97 (13.5458, 3.4057)
    105 (4.71964, 12.2551) -> 11 (5.94791, 12.836)
    106 (12.1593, 17.1676) -> 353 (10.7116, 14.4469)
