Parent Map for Subproblem Tree 9
======================================
Child ID (x, y) -> Parent ID (x, y)
    1 (1.39291, 2.4352) -> 70 (8.41334, 4.51004)
    2 (2.8124, 3.84411) -> 109 (6.84403, 7.50979)
    3 (3.49355, 5.72455) -> 62 (7.82616, 9.81071)
    4 (5.46501, 6.06124) -> 62 (7.82616, 9.81071)
    5 (6.99215, 7.35269) -> 0 (0, 1)
    6 (6.19415, 9.18658) -> 62 (7.82616, 9.81071)
    7 (1.79466, 6.77991) -> 694 (4.42187, 5.76526)
    8 (8.84061, 6.589) -> 340 (9.26088, 8.51825)
    9 (10.2208, 5.14155) -> 340 (9.26088, 8.51825)
    10 (5.26338, 10.9568) -> 62 (7.82616, 9.81071)
    11 (5.94791, 12.836) -> 62 (7.82616, 9.81071)
    12 (1.58632, 6.32659) -> 109 (6.84403, 7.50979)
    13 (12.2048, 4.88956) -> 540 (11.1999, 6.3821)
    14 (7.82424, 13.5284) -> 5 (6.99215, 7.35269)
    15 (4.69234, 3.16158) -> 350 (6.66443, 5.05282)
    16 (8.29893, 5.83864) -> 340 (9.26088, 8.51825)
    17 (13.3548, 6.52593) -> 158 (11.6027, 7.49041)
    18 (9.01506, 15.1352) -> 5 (6.99215, 7.35269)
    19 (8.86472, 11.8203) -> 5 (6.99215, 7.35269)
    20 (10.8081, 16.0212) -> 5 (6.99215, 7.35269)
    21 (4.52953, 14.2461) -> 62 (7.82616, 9.81071)
    22 (1.62626, 8.7728) -> 62 (7.82616, 9.81071)
    23 (4.68044, 16.2404) -> 62 (7.82616, 9.81071)
    24 (12.7836, 15.7092) -> 5 (6.99215, 7.35269)
    25 (15.0894, 5.53043) -> 158 (11.6027, 7.49041)
    26 (12.4363, 17.6788) -> 68 (8.82374, 11.5442)
    27 (13.8838, 14.0389) -> 5 (6.99215, 7.35269)
    28 (16.8964, 6.38769) -> 167 (12.9293, 7.31445)
    29 (10.984, 19.0539) -> 274 (10.0637, 16.0879)
    30 (10.3501, 10.4811) -> 5 (6.99215, 7.35269)
    31 (15.6511, 14.9752) -> 30 (10.3501, 10.4811)
    32 (7.03781, 15.436) -> 62 (7.82616, 9.81071)
    33 (3.28199, 17.6702) -> 69 (6.90187, 13.8582)
    34 (6.36752, 11.1791) -> 62 (7.82616, 9.81071)
    35 (16.9763, 16.4731) -> 30 (10.3501, 10.4811)
    36 (6.68377, 2.97662) -> 1990 (7.50306, 4.413)
    37 (18.2551, 7.85531) -> 67 (11.7167, 7.67337)
    38 (0.471607, 0.660038) -> 4 (5.46501, 6.06124)
    39 (16.1316, 16.9166) -> 30 (10.3501, 10.4811)
    40 (16.5001, 8.81458) -> 56 (14.3964, 8.23327)
    41 (6.45412, 4.10821) -> 553 (8.00071, 6.61612)
    42 (1.28279, 17.6134) -> 69 (6.90187, 13.8582)
    43 (7.72716, 1.27036) -> 70 (8.41334, 4.51004)
    44 (14.6081, 8.08451) -> 5 (6.99215, 7.35269)
    45 (18.9414, 16.1009) -> 129 (14.9442, 13.3092)
    46 (1.62308, 19.5843) -> 11 (5.94791, 12.836)
    47 (1.33023, 4.34306) -> 6 (6.19415, 9.18658)
    48 (17.0894, 13.5854) -> 58 (12.3158, 10.8498)
    49 (12.0773, 19.6463) -> 274 (10.0637, 16.0879)
    50 (0.29634, 21.0809) -> 23 (4.68044, 16.2404)
    51 (2.77714, 15.626) -> 84 (5.99936, 12.9988)
    52 (0.752174, 15.6851) -> 69 (6.90187, 13.8582)
    53 (19.4553, 6.25546) -> 281 (17.0804, 9.54268)
    54 (14.7379, 7.4993) -> 5 (6.99215, 7.35269)
    55 (6.37805, 2.08531) -> 613 (7.2171, 4.76011)
    56 (14.3964, 8.23327) -> 5 (6.99215, 7.35269)
    57 (20.7501, 16.9544) -> 27 (13.8838, 14.0389)
    58 (12.3158, 10.8498) -> 5 (6.99215, 7.35269)
    59 (5.14003, 14.8048) -> 62 (7.82616, 9.81071)
    60 (1.62416, 21.5843) -> 74 (6.27246, 16.6327)
    61 (8.16987, 16.9479) -> 14 (7.82424, 13.5284)
    62 (7.82616, 9.81071) -> 5 (6.99215, 7.35269)
    63 (5.03988, 18.2078) -> 69 (6.90187, 13.8582)
    64 (3.10045, 3.4123) -> 109 (6.84403, 7.50979)
    65 (10.1784, 8.48849) -> 5 (6.99215, 7.35269)
    66 (20.0437, 4.34399) -> 56 (14.3964, 8.23327)
    67 (11.7167, 7.67337) -> 5 (6.99215, 7.35269)
    68 (8.82374, 11.5442) -> 5 (6.99215, 7.35269)
    69 (6.90187, 13.8582) -> 62 (7.82616, 9.81071)
    70 (8.41334, 4.51004) -> 396 (8.91789, 6.93567)
    71 (15.853, 3.68195) -> 67 (11.7167, 7.67337)
    72 (16.7206, 6.82677) -> 158 (11.6027, 7.49041)
    73 (9.68822, 0.877601) -> 584 (9.0687, 3.50671)
    74 (6.27246, 16.6327) -> 62 (7.82616, 9.81071)
    75 (10.8453, 16.2021) -> 68 (8.82374, 11.5442)
    76 (7.86077, 1.35962) -> 70 (8.41334, 4.51004)
    77 (20.04, 14.4297) -> 189 (15.6912, 12.3304)
    78 (20.0082, 8.81786) -> 281 (17.0804, 9.54268)
    79 (11.0488, 3.25752) -> 1165 (10.5969, 4.53498)
    80 (13.3406, 12.1141) -> 65 (10.1784, 8.48849)
    81 (11.3924, 12.5663) -> 5 (6.99215, 7.35269)
    82 (3.41588, 10.1908) -> 62 (7.82616, 9.81071)
    83 (16.5751, 6.86935) -> 158 (11.6027, 7.49041)
    84 (5.99936, 12.9988) -> 62 (7.82616, 9.81071)
    85 (3.8356, 19.8046) -> 69 (6.90187, 13.8582)
    86 (2.47885, 11.9577) -> 62 (7.82616, 9.81071)
    87 (13.6999, 7.93158) -> 5 (6.99215, 7.35269)
    88 (0.500868, 10.4261) -> 146 (5.99434, 10.6135)
    89 (19.6998, 9.2383) -> 281 (17.0804, 9.54268)
    90 (5.58168, 18.0258) -> 69 (6.90187, 13.8582)
    91 (5.06319, 0.578277) -> 16 (8.29893, 5.83864)
    92 (14.158, 17.2408) -> 81 (11.3924, 12.5663)
    93 (17.037, 13.5332) -> 58 (12.3158, 10.8498)
    94 (8.54487, 8.56701) -> 62 (7.82616, 9.81071)
    95 (0.918979, 13.2095) -> 34 (6.36752, 11.1791)
    96 (19.2085, 6.98472) -> 281 (17.0804, 9.54268)
    97 (13.5458, 3.4057) -> 158 (11.6027, 7.49041)
    98 (19.0929, 18.0739) -> 31 (15.6511, 14.9752)
    99 (11.0831, 6.54538) -> 340 (9.26088, 8.51825)
    100 (20.3135, 19.6582) -> 121 (18.0157, 14.3281)
    101 (17.7483, 4.32071) -> 13 (12.2048, 4.88956)
    102 (12.8794, 1.51998) -> 534 (11.5233, 4.40842)
    103 (6.90581, 19.5247) -> 69 (6.90187, 13.8582)
    104 (19.3101, 2.48338) -> 25 (15.0894, 5.53043)
    105 (4.71964, 12.2551) -> 62 (7.82616, 9.81071)
    106 (12.1593, 17.1676) -> 353 (10.7116, 14.4469)
    107 (4.01522, 10.6773) -> 62 (7.82616, 9.81071)
    108 (18.7889, 17.3463) -> 129 (14.9442, 13.3092)
    109 (6.84403, 7.50979) -> 62 (7.82616, 9.81071)
    110 (14.8162, 1.02087) -> 9 (10.2208, 5.14155)
    111 (20.8404, 16.2626) -> 31 (15.6511, 14.9752)
    112 (8.80243, 18.89) -> 143 (8.8763, 13.5395)
    113 (0.39109, 19.0831) -> 142 (2.27804, 13.9476)
    114 (19.2161, 17.9862) -> 31 (15.6511, 14.9752)
    115 (11.8295, 10.8039) -> 5 (6.99215, 7.35269)
    116 (3.45811, 5.73701) -> 62 (7.82616, 9.81071)
    117 (18.7832, 11.0159) -> 157 (14.6639, 10.6144)
    118 (10.2211, 20.9026) -> 75 (10.8453, 16.2021)
    119 (17.1844, 18.617) -> 129 (14.9442, 13.3092)
    120 (12.2408, 13.7842) -> 81 (11.3924, 12.5663)
    121 (18.0157, 14.3281) -> 237 (15.915, 12.9927)
    122 (19.2988, 12.5722) -> 157 (14.6639, 10.6144)
    123 (3.18698, 8.20396) -> 62 (7.82616, 9.81071)
    124 (15.4639, 7.10396) -> 158 (11.6027, 7.49041)
    125 (2.25196, 9.97065) -> 62 (7.82616, 9.81071)
    126 (-0.698989, 17.8828) -> 128 (3.33203, 13.7666)
    127 (8.67962, 2.84792) -> 940 (8.49078, 4.29286)
    128 (3.33203, 13.7666) -> 34 (6.36752, 11.1791)
    129 (14.9442, 13.3092) -> 115 (11.8295, 10.8039)
    130 (13.6436, -0.328257) -> 13 (12.2048, 4.88956)
    131 (1.08376, 4.41116) -> 249 (5.51365, 4.5986)
    132 (-0.16811, 3.68548) -> 123 (3.18698, 8.20396)
    133 (20.8812, 12.6153) -> 240 (17.1319, 11.542)
    134 (8.22139, 20.8661) -> 75 (10.8453, 16.2021)
    135 (3.57235, 3.7261) -> 196 (6.16098, 6.98842)
    136 (6.82733, 19.5905) -> 75 (10.8453, 16.2021)
    137 (10.7564, 19.3165) -> 274 (10.0637, 16.0879)
    138 (3.60385, 6.24789) -> 62 (7.82616, 9.81071)
    139 (16.0236, 3.30808) -> 167 (12.9293, 7.31445)
    140 (5.82466, 0.653523) -> 251 (8.68154, 3.0709)
    141 (21.4441, 6.04473) -> 83 (16.5751, 6.86935)
    142 (2.27804, 13.9476) -> 34 (6.36752, 11.1791)
    143 (8.8763, 13.5395) -> 62 (7.82616, 9.81071)
    144 (18.4438, 13.2248) -> 157 (14.6639, 10.6144)
    145 (8.18909, 8.69548) -> 62 (7.82616, 9.81071)
    146 (5.99434, 10.6135) -> 62 (7.82616, 9.81071)
    147 (1.5236, 17.5303) -> 128 (3.33203, 13.7666)
    148 (14.0936, 2.78362) -> 158 (11.6027, 7.49041)
    149 (9.0832, 6.52616) -> 340 (9.26088, 8.51825)
    150 (12.7735, 15.7074) -> 24 (12.7836, 15.7092)
    151 (14.129, 18.7439) -> 355 (13.0333, 15.6205)
    152 (12.9762, 15.8211) -> 24 (12.7836, 15.7092)
    153 (2.09784, -0.50416) -> 55 (6.37805, 2.08531)
    154 (6.6878, 0.109441) -> 251 (8.68154, 3.0709)
    155 (7.82117, 6.72961) -> 340 (9.26088, 8.51825)
    156 (4.95388, 5.43081) -> 62 (7.82616, 9.81071)
    157 (14.6639, 10.6144) -> 65 (10.1784, 8.48849)
    158 (11.6027, 7.49041) -> 5 (6.99215, 7.35269)
    159 (15.0373, 13.4999) -> 115 (11.8295, 10.8039)
    160 (1.89524, 11.8599) -> 146 (5.99434, 10.6135)
    161 (2.19232, 11.9698) -> 146 (5.99434, 10.6135)
    162 (13.1958, 9.25628) -> 65 (10.1784, 8.48849)
    163 (21.7442, 7.82469) -> 117 (18.7832, 11.0159)
    164 (9.38372, 17.8542) -> 143 (8.8763, 13.5395)
    165 (3.56269, 8.19622) -> 62 (7.82616, 9.81071)
    166 (10.5275, 13.8266) -> 68 (8.82374, 11.5442)
    167 (12.9293, 7.31445) -> 158 (11.6027, 7.49041)
    168 (8.27992, 10.5936) -> 5 (6.99215, 7.35269)
    169 (8.40788, 6.57171) -> 340 (9.26088, 8.51825)
    170 (2.49333, 8.6539) -> 6 (6.19415, 9.18658)
    171 (17.8563, 11.7087) -> 351 (14.6795, 10.2131)
    172 (9.18796, 2.66614) -> 584 (9.0687, 3.50671)
    173 (12.3081, 17.7063) -> 353 (10.7116, 14.4469)
    174 (17.5108, 15.7111) -> 159 (15.0373, 13.4999)
    175 (15.4693, 19.6458) -> 268 (13.9219, 16.2224)
    176 (-0.0529274, 16.1249) -> 128 (3.33203, 13.7666)
    177 (18.6373, 5.06802) -> 44 (14.6081, 8.08451)
    178 (10.5056, 10.4619) -> 5 (6.99215, 7.35269)
    179 (19.315, 0.483384) -> 139 (16.0236, 3.30808)
    180 (17.9725, 0.996524) -> 97 (13.5458, 3.4057)
    181 (8.23126, 2.83739) -> 940 (8.49078, 4.29286)
    182 (4.45778, 14.5418) -> 11 (5.94791, 12.836)
    183 (22.0397, 14.4671) -> 48 (17.0894, 13.5854)
    184 (15.4244, 10.5007) -> 205 (11.2166, 8.90015)
    185 (7.34385, 5.37572) -> 340 (9.26088, 8.51825)
    186 (2.40798, 18.4039) -> 206 (6.59841, 16.3035)
    187 (3.27699, 11.1897) -> 62 (7.82616, 9.81071)
    188 (13.3772, 18.1264) -> 1077 (11.7026, 16.5218)
    189 (15.6912, 12.3304) -> 58 (12.3158, 10.8498)
    190 (9.63732, 14.3726) -> 295 (8.30371, 10.6779)
    191 (7.9507, 17.2155) -> 14 (7.82424, 13.5284)
    192 (5.32912, 6.24169) -> 62 (7.82616, 9.81071)
    193 (19.963, 0.801527) -> 139 (16.0236, 3.30808)
    194 (4.57235, -0.905871) -> 247 (5.00298, 3.53761)
    195 (-1.04001, 13.6124) -> 128 (3.33203, 13.7666)
    196 (6.16098, 6.98842) -> 62 (7.82616, 9.81071)
    197 (16.5532, 15.6923) -> 27 (13.8838, 14.0389)
    198 (14.5738, 15.9787) -> 81 (11.3924, 12.5663)
    199 (15.9543, 18.1201) -> 483 (14.2869, 15.3538)
    200 (4.80955, 6.63246) -> 62 (7.82616, 9.81071)
    201 (19.4821, 21.4772) -> 119 (17.1844, 18.617)
    202 (8.61857, 15.5228) -> 14 (7.82424, 13.5284)
    203 (7.16706, 12.8777) -> 62 (7.82616, 9.81071)
    204 (16.3226, 21.4546) -> 92 (14.158, 17.2408)
    205 (11.2166, 8.90015) -> 5 (6.99215, 7.35269)
    206 (6.59841, 16.3035) -> 627 (6.69822, 15.5935)
    207 (15.7671, 1.68842) -> 13 (12.2048, 4.88956)
    208 (16.7337, 19.962) -> 198 (14.5738, 15.9787)
    209 (16.239, 8.94766) -> 56 (14.3964, 8.23327)
    210 (4.49361, 14.5995) -> 11 (5.94791, 12.836)
    211 (6.80725, 5.37255) -> 924 (7.58708, 6.33138)
    212 (11.368, 17.604) -> 75 (10.8453, 16.2021)
    213 (6.85203, 11.8793) -> 62 (7.82616, 9.81071)
    214 (12.8162, 1.02169) -> 1016 (12.8054, 3.48048)
    215 (10.3622, 20.6751) -> 75 (10.8453, 16.2021)
    216 (8.25819, 8.68128) -> 62 (7.82616, 9.81071)
    217 (6.20997, 19.9245) -> 32 (7.03781, 15.436)
    218 (17.3678, 15.9391) -> 159 (15.0373, 13.4999)
    219 (16.9874, 13.9437) -> 237 (15.915, 12.9927)
    220 (16.7773, 19.943) -> 198 (14.5738, 15.9787)
    221 (12.2579, 3.42096) -> 414 (10.6062, 6.5348)
    222 (4.07617, 21.7901) -> 90 (5.58168, 18.0258)
    223 (3.03592, 8.16556) -> 6 (6.19415, 9.18658)
    224 (12.1762, 19.7257) -> 274 (10.0637, 16.0879)
    225 (10.9603, 19.0848) -> 274 (10.0637, 16.0879)
    226 (5.19693, 16.4717) -> 235 (6.70806, 13.4633)
    227 (2.16386, 11.9687) -> 146 (5.99434, 10.6135)
    228 (7.92404, 3.46172) -> 396 (8.91789, 6.93567)
    229 (16.5544, -0.413776) -> 102 (12.8794, 1.51998)
    230 (21.1131, 1.6177) -> 101 (17.7483, 4.32071)
    231 (3.89826, 4.99719) -> 479 (5.53085, 6.78332)
    232 (13.8531, 3.69605) -> 158 (11.6027, 7.49041)
    233 (2.07013, 7.53153) -> 6 (6.19415, 9.18658)
    234 (2.09767, 1.68185) -> 247 (5.00298, 3.53761)
    235 (6.70806, 13.4633) -> 62 (7.82616, 9.81071)
    236 (1.50106, 2.35037) -> 247 (5.00298, 3.53761)
    237 (15.915, 12.9927) -> 58 (12.3158, 10.8498)
    238 (16.3027, 2.09735) -> 277 (14.3594, 5.53544)
