Parent Map for Subproblem Tree 7
======================================
Child ID (x, y) -> Parent ID (x, y)
    1 (1.39291, 2.4352) -> 5 (6.99215, 7.35269)
    2 (2.8124, 3.84411) -> 5 (6.99215, 7.35269)
    3 (3.49355, 5.72455) -> 0 (0, 1)
    4 (5.46501, 6.06124) -> 0 (0, 1)
    5 (6.99215, 7.35269) -> 0 (0, 1)
    6 (6.19415, 9.18658) -> 0 (0, 1)
    7 (1.79466, 6.77991) -> 0 (0, 1)
    8 (8.84061, 6.589) -> 0 (0, 1)
    9 (10.2208, 5.14155) -> 0 (0, 1)
    10 (5.26338, 10.9568) -> 0 (0, 1)
    11 (5.94791, 12.836) -> 0 (0, 1)
    12 (1.58632, 6.32659) -> 0 (0, 1)
    13 (12.2048, 4.88956) -> 0 (0, 1)
    14 (7.82424, 13.5284) -> 3 (3.49355, 5.72455)
    15 (4.69234, 3.16158) -> 0 (0, 1)
    16 (8.29893, 5.83864) -> 0 (0, 1)
    17 (13.3548, 6.52593) -> 9 (10.2208, 5.14155)
    18 (9.01506, 15.1352) -> 3 (3.49355, 5.72455)
    19 (8.86472, 11.8203) -> 3 (3.49355, 5.72455)
    20 (10.8081, 16.0212) -> 6 (6.19415, 9.18658)
    21 (4.52953, 14.2461) -> 10 (5.26338, 10.9568)
    22 (1.62626, 8.7728) -> 0 (0, 1)
    23 (4.68044, 16.2404) -> 3 (3.49355, 5.72455)
    24 (12.7836, 15.7092) -> 19 (8.86472, 11.8203)
    25 (15.0894, 5.53043) -> 36 (6.68377, 2.97662)
    26 (12.4363, 17.6788) -> 1777 (11.849, 16.9187)
    27 (13.8838, 14.0389) -> 5 (6.99215, 7.35269)
    28 (16.8964, 6.38769) -> 13 (12.2048, 4.88956)
    29 (10.984, 19.0539) -> 14 (7.82424, 13.5284)
    30 (10.3501, 10.4811) -> 4 (5.46501, 6.06124)
    31 (15.6511, 14.9752) -> 335 (12.9617, 12.5277)
    32 (7.03781, 15.436) -> 11 (5.94791, 12.836)
    33 (3.28199, 17.6702) -> 10 (5.26338, 10.9568)
    34 (6.36752, 11.1791) -> 6 (6.19415, 9.18658)
    35 (16.9763, 16.4731) -> 30 (10.3501, 10.4811)
    36 (6.68377, 2.97662) -> 0 (0, 1)
    37 (18.2551, 7.85531) -> 9 (10.2208, 5.14155)
    38 (0.471607, 0.660038) -> 0 (0, 1)
    39 (16.1316, 16.9166) -> 30 (10.3501, 10.4811)
    40 (16.5001, 8.81458) -> 99 (11.0831, 6.54538)
    41 (6.45412, 4.10821) -> 0 (0, 1)
    42 (1.28279, 17.6134) -> 10 (5.26338, 10.9568)
    43 (7.72716, 1.27036) -> 0 (0, 1)
    44 (14.6081, 8.08451) -> 99 (11.0831, 6.54538)
    45 (18.9414, 16.1009) -> 80 (13.3406, 12.1141)
    46 (1.62308, 19.5843) -> 21 (4.52953, 14.2461)
    47 (1.33023, 4.34306) -> 5 (6.99215, 7.35269)
    48 (17.0894, 13.5854) -> 1122 (16.4475, 13.1035)
    49 (12.0773, 19.6463) -> 18 (9.01506, 15.1352)
    50 (0.29634, 21.0809) -> 21 (4.52953, 14.2461)
    51 (2.77714, 15.626) -> 10 (5.26338, 10.9568)
