Length, Risk, TravelTime, Paths.x, Paths.y , Fitness, Weights
25.7669,8.13303,12.8835,"1;1.38113;1.67806;2.14275;2.53854;2.93049;3.37602;3.81987;4.07465;4.38767;4.88757;5.37397;5.80785;6.28446;6.78437;7.10071;7.35813;7.84722;8.19481;8.62931;9.12697;9.534;9.89688;10.2323;10.702;11.1261;11.5882;11.9642;12.1394;12.6223;13.0697;13.547;14.0154;14.4611;14.6551;15.1507;15.6142;16.0756;16.5168;16.8261;17.3139;17.7317;18.0908;18.5862;18.8516;19.1907;19.5297;20.0243;20.5056;20.6486;21.1426;21.5937;21.3149;21.0362;21","15;15.3236;15.7259;15.9105;15.6049;15.9154;16.0654;16.0758;15.8931;16.283;16.2929;16.4087;16.6572;16.5061;16.5156;16.1284;15.6998;15.5959;15.9553;16.2027;16.1544;16.4448;16.7887;17.1595;17.3309;17.5959;17.7402;17.7173;17.3808;17.2511;17.4743;17.3254;17.5004;17.3651;17.1797;17.2461;17.4336;17.6261;17.3908;17.7837;17.8933;18.1679;17.8199;17.7526;17.3289;16.9613;16.5938;16.5206;16.6561;16.177;16.0997;15.884;15.4689;15.0538;15",12.8835,"0;0;1"
31.1426,13.4315,9.58998,"1;1.07951;1.0262;1.03982;1.10769;1.2296;1.67027;1.87695;2.25536;2.73727;3.11642;3.37177;3.84265;4.33021;4.73832;5.18814;5.64699;6.04176;6.19928;6.62926;6.58106;6.68341;7.01646;7.20478;7.34096;7.62524;7.82257;7.86034;7.86565;8.05828;8.26298;8.35785;8.60236;9.06259;9.35547;9.63512;10.0013;10.1238;10.4487;10.7566;11.0515;11.5381;12.0272;12.5083;12.8476;13.19;13.5085;13.9733;14.3143;14.6983;14.8971;15.0568;15.1032;15.157;15.1923;15.3417;15.3706;15.313;15.3209;15.3482;15.463;15.856;15.9855;16.2577;16.5971;17.009;17.339;17.5151;17.89;18.2848;18.572;18.9289;19.1985;19.2299;19.5978;20.0069;20.4685;20.5068;20.4564;20.3049;20.2869;20.4729;20.6044;21","15;14.5064;14.0092;13.5094;13.014;12.7754;12.6538;12.6194;12.5075;12.4024;12.2874;12.2611;12.2531;12.325;12.3601;12.4396;12.5731;12.6497;12.7591;12.7898;13.1934;13.6592;13.993;14.3419;14.4821;14.7963;15.2488;15.2821;15.7469;16.1307;16.2387;16.6793;16.8169;16.8327;16.83;17.148;17.2672;17.5319;17.6754;17.4546;17.2174;17.3238;17.2418;17.14;16.9734;16.8205;16.435;16.2671;15.9718;15.7189;15.3122;14.9979;14.7194;14.453;14.1637;13.7823;13.5297;13.1085;12.8844;12.8142;12.4902;12.3489;12.3815;12.2611;12.1051;11.9687;11.8454;11.9587;11.9981;11.7927;11.9623;12.1546;12.379;12.3988;12.7274;12.8959;12.8972;13.199;13.6281;13.8695;14.1605;14.5841;14.8684;15",9.71803,"0;0.0333333;0.966667"
30.9629,6.3305,2.43002,"1;1.20472;1.34074;1.4085;1.43758;1.39769;1.58033;1.67966;1.74433;1.85424;2.04538;2.34119;2.77495;3.13809;3.36508;3.61264;3.77549;3.96041;4.11332;4.50333;4.93329;5.22443;5.56961;5.74562;6.12909;6.52125;6.97429;7.42136;7.82231;7.97471;8.33133;8.74957;9.23175;9.72004;9.97994;10.4089;10.8095;11.2882;11.7882;12.0267;12.1865;12.5484;12.8883;13.2307;13.5515;13.8997;14.0157;14.0787;14.229;14.0621;14.2467;14.3158;14.3313;14.5318;14.749;14.9224;15.0265;15.4108;15.9;16.385;16.5865;16.9542;17.3518;17.6716;17.9256;18.2212;18.592;18.8851;19.211;19.5857;19.9386;20.4085;20.7741;21.0143;20.8946;20.7972;20.6757;20.9624;21.0632;20.8814;21","15;14.6769;14.2886;13.8341;13.395;13.0092;12.7331;12.503;12.1562;11.9597;11.6839;11.5712;11.5163;11.3537;11.1265;10.8285;10.4871;10.2585;9.92095;9.7838;9.60534;9.57638;9.21465;8.74665;8.4258;8.11561;7.90407;7.68017;7.59021;7.53675;7.3658;7.15442;7.02212;7.12967;7.06452;6.90125;6.96435;6.98232;6.98769;7.04171;7.09241;7.39792;7.61058;7.68811;7.78946;7.8122;8.25526;8.50005;8.96404;9.25084;9.54856;9.94744;10.3906;10.7411;10.8885;11.2878;11.6994;11.9405;12.0308;12.0774;12.4476;12.4659;12.464;12.5646;12.6554;12.4556;12.3897;12.3472;12.4237;12.3709;12.3972;12.3043;12.3419;12.6039;12.9083;13.3254;13.4603;13.8413;14.3091;14.5707;15",2.69005,"0;0.0666667;0.933333"
26.3009,3.14921,13.1505,"1;1.27545;1.65593;2.15556;2.63924;3.10435;3.58146;3.78348;4.27192;4.75174;5.25159;5.65735;5.77724;6.02824;6.38877;6.81605;7.07697;7.51725;7.90586;8.40546;8.86412;9.25379;9.67104;10.0645;10.5644;11.064;11.561;11.9956;12.4847;12.5256;12.8765;13.361;13.861;14.3208;14.7714;15.2247;15.5904;15.9328;16.3366;16.8132;16.8704;17.2906;17.656;17.8674;17.9657;17.9856;18.4692;18.8953;19.3824;19.7598;20.1372;20.6372;20.8539;21","15;14.5827;14.2583;14.2775;14.4042;14.2207;14.3702;14.8276;14.9345;15.0751;15.0873;15.3794;15.8649;16.2973;16.6437;16.9034;17.3299;17.5669;17.8815;17.8616;18.0607;18.3271;18.5892;18.8978;18.9044;18.8825;18.8287;19.0759;19.1799;19.6782;20.0344;20.1579;20.1533;19.9569;20.1736;20.3847;20.0438;19.6794;19.3846;19.2335;18.7368;18.4658;18.1245;17.6714;17.1811;16.6815;16.5546;16.2929;16.4057;16.0778;15.7498;15.7533;15.3027;15",12.1503,"0;0.1;0.9"
31.6419,4.5003,2.7513,"1;1.17095;1.31046;1.36694;1.3768;1.53873;1.60233;1.87398;2.23724;2.49709;2.92724;3.16216;3.39711;3.63551;3.79012;3.89195;4.01301;4.26337;4.37829;4.3331;4.48331;4.6321;4.8652;5.06905;5.44484;5.69968;5.96959;6.24481;6.72542;7.01365;7.45943;7.82317;8.29075;8.6772;9.05916;9.45395;9.81216;10.1045;10.5665;10.8068;11.0764;11.5279;11.9247;12.0574;12.4564;12.844;13.0673;13.3061;13.7356;13.7737;13.9732;14.4229;14.5865;14.8388;14.9616;15.2429;15.4155;15.498;15.8568;15.8191;15.8918;15.9164;15.8701;15.702;15.6367;16.0134;16.0999;16.2189;16.2797;16.4284;16.862;17.3326;17.7058;17.9509;18.4049;18.8874;19.1394;19.4126;19.4903;19.9153;20.0681;20.1389;19.9903;19.8265;20.1585;20.6087;21","15;14.5301;14.2011;13.873;13.8007;13.3737;12.9893;12.7837;12.6882;12.6272;12.449;12.1024;11.7583;11.5201;11.3522;11.0788;10.6163;10.3209;9.88343;9.62197;9.37471;9.09266;8.73417;8.34971;8.16531;8.04139;7.81527;7.49523;7.49135;7.25796;7.03151;6.68844;6.51133;6.34201;6.35768;6.26427;6.16148;6.17586;6.30371;6.38463;6.36321;6.40644;6.32925;6.38731;6.52025;6.64768;6.77192;6.99394;6.91496;7.40588;7.47819;7.4553;7.57364;7.89666;8.17668;8.54841;8.7745;8.90604;9.11933;9.33228;9.68566;10.0752;10.3064;10.7488;11.1891;11.5014;11.5452;11.6588;12.1026;12.455;12.6119;12.5117;12.5305;12.6469;12.5252;12.4563;12.5561;12.9249;12.878;12.994;13.4008;13.6962;13.9443;14.3688;14.7239;14.7659;15",2.9845,"0;0.133333;0.866667"
33.1067,3.76924,2.34209,"1;1.10518;1.19834;1.22554;1.38203;1.3643;1.45969;1.74916;1.82771;2.23444;2.54141;2.90864;3.00812;3.224;3.25352;3.47194;3.5308;3.65129;3.76158;3.85766;3.99603;4.11549;4.26652;4.53059;4.80754;5.15552;5.28724;5.57592;6.00356;6.20198;6.5865;6.97237;7.37622;7.62922;8.07049;8.381;8.7494;9.13849;9.56683;9.99267;10.3502;10.5866;10.8657;11.204;11.6282;11.9553;12.28;12.547;12.8283;13.2486;13.6791;14.0776;14.3599;14.6577;15.0476;15.451;15.6191;16.0997;16.4412;16.8777;17.2635;17.5185;17.7047;17.792;18.01;18.3562;18.611;18.8685;19.2124;19.3853;19.7931;20.2335;20.4317;20.4486;20.6007;20.6534;20.7682;20.8267;20.9111;20.6932;20.6737;20.7676;20.7767;20.7353;20.8371;21.0194;21.0928;21.0877;21.0855;21.0949;21.0619;21.0319;21.0018;21","15;14.7594;14.413;14.1625;13.7648;13.4476;13.0972;12.6922;12.5381;12.3531;12.1428;11.8561;11.4688;11.0959;10.8128;10.4349;9.99656;9.69425;9.44181;9.13934;8.84594;8.50201;8.14917;7.87265;7.69855;7.33959;7.13917;6.86694;6.68597;6.47644;6.333;6.25545;6.24191;6.1585;6.06684;5.9456;5.78953;5.54107;5.30431;5.29645;5.31415;5.35418;5.37289;5.38148;5.51744;5.38269;5.40962;5.39279;5.29431;5.35035;5.37789;5.52892;5.52296;5.72526;5.91207;5.98825;5.99129;5.97034;5.97666;6.13271;6.19992;6.40809;6.78701;7.08374;7.19033;7.25729;7.36968;7.55646;7.70448;7.69757;7.7371;7.9705;8.40845;8.63426;8.91961;9.16913;9.50993;9.56006;9.9934;10.4143;10.751;11.2207;11.3844;11.6724;12.0068;12.2442;12.6664;12.835;13.209;13.4894;13.9713;14.4704;14.9695;15",2.57995,"0;0.166667;0.833333"
30.882,3.9767,2.35028,"1;0.981193;1.1776;1.23812;1.31129;1.28197;1.40162;1.81686;2.02729;2.27761;2.74043;2.89891;3.28591;3.45136;3.85884;4.09367;4.28105;4.46684;4.57969;4.78286;4.99851;5.20044;5.42081;5.76201;6.11614;6.26975;6.57476;6.79166;6.93059;7.14783;7.51707;7.80277;8.0948;8.45645;8.76515;9.11461;9.42488;9.88488;10.1623;10.5883;10.8744;11.1825;11.4841;11.8859;12.1497;12.606;13.0857;13.5079;13.8651;14.1801;14.5509;14.9411;15.1698;15.2091;15.6472;16.0729;16.2474;16.5876;16.9298;17.3018;17.6894;17.9495;18.3239;18.5255;18.7643;19.0257;18.9539;19.1408;19.5179;19.5835;19.7405;19.8079;20.0521;20.1665;20.1851;20.2111;20.5074;20.8312;20.8603;20.7927;20.797;20.762;20.8345;20.8494;20.8406;21","15;14.7443;14.3464;14.1374;13.7405;13.407;12.9558;12.8649;12.6226;12.3904;12.2716;12.2393;11.9951;11.7293;11.4747;11.2921;10.8579;10.5935;10.234;9.83897;9.60453;9.24008;9.04552;8.73166;8.40175;8.31691;8.16498;7.9292;7.48283;7.06938;6.76759;6.63967;6.53311;6.47859;6.24918;6.1787;6.13513;5.98443;5.91741;5.95185;5.93058;5.94971;5.94931;5.93823;5.86596;6.05054;6.18526;6.07705;6.10636;6.14681;6.34191;6.3442;6.33687;6.3914;6.49739;6.6211;6.70883;7.04102;7.12894;7.28506;7.54525;7.70283;8.01585;8.41068;8.81325;9.08214;9.43134;9.59647;9.81935;9.98003;10.3185;10.5135;10.8345;11.0811;11.4527;11.7681;12.0989;12.4476;12.7812;12.8416;13.2815;13.7732;14.2293;14.711;14.8851;15",2.67557,"0;0.2;0.8"
35.9426,4.11318,2.79617,"1;1.21611;1.25398;1.20757;1.30546;1.30544;1.29719;1.55925;1.86131;2.26896;2.64486;2.90457;3.28444;3.49243;3.69342;3.73058;3.86674;4.0133;4.09596;4.40578;4.57153;4.82317;5.08052;5.18162;5.23646;5.53298;5.77876;6.14108;6.47954;6.74743;7.01041;7.31985;7.5412;7.99681;8.36847;8.52262;8.7275;9.01926;9.3831;9.75717;9.92921;10.263;10.6434;11.0283;11.4117;11.8533;12.1491;12.4952;12.9948;13.3793;13.8092;14.1835;14.6429;15.0137;15.3487;15.6456;16.1144;16.5061;16.9411;17.2101;17.6153;18.0322;18.385;18.5989;18.9076;19.1684;19.4045;19.6371;19.6533;19.6353;19.6198;19.809;19.4962;19.2844;18.9777;18.6822;18.2602;18.36;18.7372;18.8334;19.29;19.7864;20.265;20.5543;20.995;21.32;21.5048;21.6046;21.6611;21.7177;21.76;21.5464;21.1307;21","15;14.596;14.3871;13.8923;13.4856;13.0858;12.9869;12.7964;12.49;12.5556;12.3974;12.1845;12.0063;11.7536;11.2974;11.1587;10.7591;10.4096;10.2792;9.89106;9.67898;9.34495;9.05527;8.57555;8.09731;7.82747;7.39663;7.08513;7.01135;6.69789;6.57518;6.41746;6.37575;6.19106;6.06299;5.83911;5.69682;5.62649;5.58797;5.55071;5.58952;5.64303;5.49331;5.33809;5.44354;5.62166;5.63237;5.6156;5.62438;5.55808;5.74291;5.80485;5.85444;6.09147;6.29368;6.68764;6.7707;6.94576;7.11909;7.18512;7.45563;7.63383;7.75419;8.13066;8.38149;8.74129;9.0921;9.43129;9.77738;10.1126;10.5761;10.6997;11.0682;11.2812;11.6172;11.7189;11.8533;12.307;12.4702;12.7386;12.8676;12.8508;12.8956;12.694;12.8953;12.9041;13.1416;13.4298;13.8647;14.2303;14.6064;14.9983;15.261;15",3.10347,"0;0.233333;0.766667"
31.699,3.31816,2.57026,"1;1.36452;1.51472;1.87822;1.95333;1.94877;1.90611;2.28598;2.53076;2.86768;3.12676;3.32908;3.47117;3.66065;3.86194;3.99833;4.08069;4.29711;4.39715;4.40544;4.42254;4.65999;4.72928;4.86459;5.12894;5.33226;5.40663;5.72918;5.9841;6.1969;6.60909;7.06086;7.45163;7.75819;8.22947;8.67405;9.00639;9.35114;9.79842;10.1394;10.4339;10.8326;11.236;11.5462;11.775;12.1271;12.3355;12.7119;12.9239;13.3163;13.6193;13.9813;14.0862;14.3986;14.7597;15.1231;15.2853;15.6507;15.8456;16.1894;16.6705;16.9471;17.2971;17.5183;17.6887;17.7647;17.7112;17.6981;17.639;18.046;18.503;18.7351;18.9027;19.2427;19.4404;19.6434;20.0836;20.2835;20.1212;20.5006;20.6796;20.7064;20.7949;20.723;20.9941;20.9915;20.9006;20.8833;21","15;14.7784;14.4103;14.0874;13.6259;13.1885;12.9054;12.825;12.6923;12.4394;12.1384;11.951;11.7036;11.498;11.104;10.8094;10.7377;10.3448;10.0066;9.82445;9.38437;9.01225;8.73862;8.43606;8.14184;7.7231;7.55761;7.29133;6.95867;6.81992;6.58476;6.64687;6.39381;6.30693;6.19319;6.1058;6.07638;6.09867;5.91179;5.75168;5.76485;5.73143;5.66546;5.58321;5.52548;5.54748;5.49434;5.61255;5.68753;5.65463;5.97102;6.20114;6.21266;6.37651;6.51178;6.71933;6.9081;7.15261;7.4515;7.71408;7.74651;8.13198;8.2263;8.57777;8.93243;9.20999;9.53805;9.99269;10.1396;10.3548;10.5091;10.6651;11.0743;11.3276;11.4854;11.6699;11.8397;12.0468;12.4557;12.4653;12.7705;12.8671;13.2098;13.5282;13.8016;14.1467;14.4827;14.8997;15",2.7697,"0;0.266667;0.733333"
22.5692,2.94638,11.2846,"1;1.0759;1.48762;1.9256;2.1387;2.61645;2.88274;3.32861;3.7303;3.93974;4.31452;4.6227;5.11262;5.37283;5.70448;6.13687;6.46399;6.62783;6.82465;7.12697;7.45537;7.82573;8.15164;8.53413;8.87246;9.01481;9.41817;9.70574;10.1706;10.398;10.8947;11.1814;11.6504;12.0619;12.3808;12.8176;13.1376;13.3593;13.6094;13.8574;14.0144;14.3936;14.6412;15.1235;15.4043;15.8432;16.2492;16.6961;17.1747;17.5253;17.9135;18.1897;18.4394;18.6575;18.7671;19.1706;19.3419;19.6093;20.0118;20.291;20.6077;21","15;15.0283;15.1773;15.3234;15.3005;15.4332;15.5024;15.5385;15.8359;15.9185;16.075;16.1887;16.2407;16.4721;16.7944;16.9857;17.1825;17.2495;17.3271;17.4007;17.4956;17.7294;17.9227;18.0731;18.2468;18.3054;18.5534;18.853;19.0168;19.0008;18.9428;18.9771;18.936;18.8582;18.7226;18.5065;18.3089;18.1166;17.9754;17.9107;17.5214;17.2433;17.2889;17.2953;17.289;17.2584;17.1585;17.0892;17.1093;16.9139;16.9731;16.7335;16.4446;16.1324;16.0418;15.7808;15.812;15.4471;15.1833;15.212;15.23;15",8.78315,"0;0.3;0.7"
